YEAR,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2008,54,Foreign-born,2439700,795900.0,32.62286346681969
2008,54,US-born,178386400,25817600.0,14.472852190525733
2008,55,Foreign-born,25373500,6678900.0,26.322344177980966
2008,55,US-born,533779700,42736100.0,8.00631796226046
2008,56,Foreign-born,1263500,356300.0,28.1994459833795
2008,56,US-born,51624500,7137700.0,13.826187178568317
2009,1,Foreign-born,14939000,6242000.0,41.78325189102349
2009,1,US-born,452238000,60114400.0,13.292646792175802
2009,2,Foreign-born,4925600,1091000.0,22.149585837258403
2009,2,US-born,63212500,12787400.0,20.22922681431679
2009,4,Foreign-born,92518000,37667700.0,40.71391513002875
2009,4,US-born,560117000,78875800.0,14.082022148943881
2009,5,Foreign-born,11618000,5554500.0,47.809433637459115
2009,5,US-born,275373100,43581000.0,15.82616457453542
2009,6,Foreign-born,992797400,320061700.0,32.238370084369684
2009,6,US-born,2659960600,347592400.0,13.067577015990386
2009,8,Foreign-born,49152500,21494800.0,43.730837698998016
2009,8,US-born,446859400,55783500.0,12.483456765148054
2009,9,Foreign-born,45815400,10753300.0,23.470928988942582
2009,9,US-born,293928200,19195000.0,6.530506429801564
2009,10,Foreign-born,7339500,2202300.0,30.006131207847947
2009,10,US-born,79817100,6937000.0,8.691120073267507
2009,11,Foreign-born,7327300,1105300.0,15.08468330763037
2009,11,US-born,51822000,3003900.0,5.796572884103276
2009,12,Foreign-born,347945500,132849700.0,38.18118067341006
2009,12,US-born,1448465700,248160900.0,17.132673559339377
2009,13,Foreign-born,92325500,45368600.0,49.13983677315584
2009,13,US-born,879256200,144925100.0,16.48269298527551
2009,15,Foreign-born,22015500,1855300.0,8.427244441416274
2009,15,US-born,103552700,6542900.0,6.31842530421708
2009,16,Foreign-born,9460300,3496200.0,36.95654471845502
2009,16,US-born,143527600,22621000.0,15.760731733826805
2009,17,Foreign-born,173212900,56288400.0,32.49665584953546
2009,17,US-born,1104600300,113948100.0,10.315776666003078
2009,18,Foreign-born,27894200,9647800.0,34.58711846907242
2009,18,US-born,611321200,79934000.0,13.075613932577507
2009,19,Foreign-born,11480600,3248200.0,28.292946361688415
2009,19,US-born,288123400,22815600.0,7.918690394462928
2009,20,Foreign-born,17915600,7067300.0,39.4477438656813
2009,20,US-born,261871700,29110100.0,11.116168719262143
2009,21,Foreign-born,12672800,4994600.0,39.411968941354715
2009,21,US-born,416232900,58982500.0,14.170552111570228
2009,22,Foreign-born,14968700,5747400.0,38.39611990353204
2009,22,US-born,431801500,73275100.0,16.969626089765782
2009,23,Foreign-born,4497600,372400.0,8.27997154037709
2009,23,US-born,125870400,12665100.0,10.062016169011937
2009,24,Foreign-born,73353100,20918400.0,28.517404172420797
2009,24,US-born,489566400,43001900.0,8.783670611381828
2009,25,Foreign-born,94806100,9605300.0,10.131521073011125
2009,25,US-born,548880800,17721100.0,3.2285880650224965
2009,26,Foreign-born,60331800,14417800.0,23.89751341746807
2009,26,US-born,930226700,109312200.0,11.75113550277583
2009,27,Foreign-born,35571900,7657500.0,21.526823138488528
2009,27,US-born,488013500,39056700.0,8.003200731127315
2009,28,Foreign-born,5783800,2414500.0,41.74591099277292
2009,28,US-born,287710600,50214600.0,17.453163004769376
2009,29,Foreign-born,21198000,6412300.0,30.249551844513633
2009,29,US-born,573789700,74270600.0,12.94387124760169
2009,30,Foreign-born,1991500,532800.0,26.753703238764746
2009,30,US-born,94734600,17753200.0,18.73993240062237
2009,31,Foreign-born,10295100,3991800.0,38.77378558731824
2009,31,US-born,168027300,16249000.0,9.670452361015144
2009,32,Foreign-born,50481100,19936200.0,39.492404087866554
2009,32,US-born,210011900,37283400.0,17.752993997006836
2009,33,Foreign-born,7162700,1422200.0,19.855641029220823
2009,33,US-born,123817200,12290800.0,9.926569168096194
2009,34,Foreign-born,175550300,50014900.0,28.49035290740033
2009,34,US-born,673657600,56570400.0,8.397500451267826
2009,35,Foreign-born,20088000,10222200.0,50.88709677419355
2009,35,US-born,178305200,30481700.0,17.095238949845545
2009,36,Foreign-born,416126900,98377700.0,23.641273851798577
2009,36,US-born,1491249200,123395200.0,8.274619694682821
2009,37,Foreign-born,67096400,32638900.0,48.64478571130493
2009,37,US-born,861142100,116073400.0,13.479006542590358
2009,38,Foreign-born,1671000,279100.0,16.70257330939557
2009,38,US-born,62541600,6104400.0,9.760543382324725
2009,39,Foreign-born,42899800,9888800.0,23.050923314327807
2009,39,US-born,1103425000,131278700.0,11.897383147925776
2009,40,Foreign-born,19512400,9194400.0,47.12080523154507
2009,40,US-born,346304200,60371600.0,17.433112275277054
2009,41,Foreign-born,37408200,14379400.0,38.43916574440898
2009,41,US-born,341325000,52020700.0,15.240811543250569
2009,42,Foreign-born,67195000,14057900.0,20.9210506734132
2009,42,US-born,1174616500,107898400.0,9.18584065522662
2009,44,Foreign-born,13613100,3811900.0,28.00170424076808
2009,44,US-born,89772800,7843800.0,8.737390389962215
2009,45,Foreign-born,20890400,9328900.0,44.65639719679853
2009,45,US-born,430634000,67418100.0,15.655545080044773
2009,46,Foreign-born,1800100,298300.0,16.57130159435587
2009,46,US-born,78888100,10468500.0,13.270062278087568
2009,47,Foreign-born,26450000,12338900.0,46.64990548204159
