YEAR,STATEFIP,Foreign-born,US-born,uninsured_rate_pct_gap_foreign_minus_us
2008,1,41.423137371022484,12.810490505625472,28.61264686539701
2008,2,22.366377559553676,19.236995578743016,3.1293819808106598
2008,4,44.92794869909002,13.788474519668354,31.13947417942166
2008,5,46.104129263913826,16.264607942384238,29.83952132152959
2008,6,31.169953241497222,12.491463332588788,18.678489908908432
2008,8,41.614682847232324,13.864254209452914,27.750428637779407
2008,9,23.428235959397128,6.492479793315016,16.93575616608211
2008,10,23.687252550356906,9.353506521112005,14.333746029244901
2008,11,16.24224717431942,5.769887944051498,10.472359230267923
2008,12,36.442593428632776,17.016588260979,19.426005167653777
2008,13,46.63483675751529,15.994950290116098,30.63988646739919
2008,15,9.353718727965656,5.603065412954246,3.7506533150114105
2008,16,42.2342272814972,15.75747980522953,26.47674747626767
2008,17,30.870420711829265,9.569057027603257,21.301363684226008
2008,18,31.65785176909916,12.749127359777615,18.908724409321543
2008,19,27.18325441430278,7.664135082141444,19.51911933216134
2008,20,38.62422807261922,10.300036877670129,28.324191194949087
2008,21,31.856631925772284,12.821207903786313,19.03542402198597
2008,22,41.057264058920055,16.91944284991587,24.137821209004183
2008,23,7.749406175771971,10.264805892785365,-2.515399717013394
2008,24,26.50795512846787,8.829925006155904,17.678030122311966
2008,25,9.780094944900723,3.1048323852000688,6.675262559700654
2008,26,22.465890297684673,10.4995220074362,11.966368290248473
2008,27,20.471747091921927,7.60103458555035,12.870712506371577
2008,28,49.23619863876985,17.04279448512066,32.19340415364919
2008,29,29.793570092401062,11.967386157872458,17.826183934528604
2008,30,23.52348824329087,17.632734249779638,5.8907539935112325
2008,31,33.94813167009264,8.897412832442301,25.050718837650344
2008,32,36.83115995901063,17.598178111620264,19.232981847390363
2008,33,18.705644592752737,10.26075238120691,8.444892211545827
2008,34,27.81799559151259,8.0118932436962,19.806102347816392
2008,35,46.91236354184717,18.197468582242955,28.714894959604216
2008,36,23.2854225973119,8.239887907395179,15.045534689916721
2008,37,47.076519400643676,13.221799910569295,33.85471949007438
2008,38,17.985510304564958,9.19360065713268,8.791909647432277
2008,39,20.090293975013278,11.162738461109658,8.92755551390362
2008,40,43.970955773063075,17.490428042639063,26.48052773042401
2008,41,33.360289023882004,14.442464389957587,18.91782463392442
2008,42,20.623695803385115,8.625004747076211,11.998691056308903
2008,44,24.661722760981174,7.911098072813704,16.75062468816747
2008,45,42.512004017030534,15.28250865902149,27.229495358009046
2008,46,11.408832644628099,11.073861834337238,0.3349708102908604
2008,47,40.314833404656106,12.156686808405158,28.158146596250948
2008,48,50.347577024307164,18.516109450358943,31.83146757394822
2008,49,41.152566922375414,12.336489146634436,28.81607777574098
2008,50,11.827603224214508,8.104020644076188,3.72358258013832
2008,51,27.716264502183595,9.610216230667838,18.106048271515757
2008,53,25.464523463212917,10.822367575682117,14.6421558875308
2008,54,32.62286346681969,14.472852190525733,18.150011276293952
2008,55,26.322344177980966,8.00631796226046,18.316026215720505
2008,56,28.1994459833795,13.826187178568317,14.373258804811185
2009,1,41.78325189102349,13.292646792175802,28.490605098847688
2009,2,22.149585837258403,20.22922681431679,1.9203590229416143
2009,4,40.71391513002875,14.082022148943881,26.63189298108487
2009,5,47.809433637459115,15.82616457453542,31.983269062923696
2009,6,32.238370084369684,13.067577015990386,19.170793068379297
2009,8,43.730837698998016,12.483456765148054,31.24738093384996
2009,9,23.470928988942582,6.530506429801564,16.94042255914102
2009,10,30.006131207847947,8.691120073267507,21.315011134580438
2009,11,15.08468330763037,5.796572884103276,9.288110423527094
2009,12,38.18118067341006,17.132673559339377,21.048507114070684
2009,13,49.13983677315584,16.48269298527551,32.65714378788033
2009,15,8.427244441416274,6.31842530421708,2.108819137199194
2009,16,36.95654471845502,15.760731733826805,21.195812984628216
2009,17,32.49665584953546,10.315776666003078,22.18087918353238
2009,18,34.58711846907242,13.075613932577507,21.511504536494915
2009,19,28.292946361688415,7.918690394462928,20.374255967225487
2009,20,39.4477438656813,11.116168719262143,28.331575146419162
2009,21,39.411968941354715,14.170552111570228,25.241416829784487
2009,22,38.39611990353204,16.969626089765782,21.426493813766257
2009,23,8.27997154037709,10.062016169011937,-1.7820446286348464
2009,24,28.517404172420797,8.783670611381828,19.733733561038967
2009,25,10.131521073011125,3.2285880650224965,6.902933007988629
2009,26,23.89751341746807,11.75113550277583,12.14637791469224
2009,27,21.526823138488528,8.003200731127315,13.523622407361213
2009,28,41.74591099277292,17.453163004769376,24.292747988003544
2009,29,30.249551844513633,12.94387124760169,17.30568059691194
2009,30,26.753703238764746,18.73993240062237,8.013770838142378
