YEAR,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,incarceration_rate_pct
2008,54,US-born,26247600,587700.0,2.239061857084076
2008,55,Foreign-born,6500600,87400.0,1.3444912777282096
2008,55,US-born,80079500,2507400.0,3.1311384311840107
2008,56,Foreign-born,368800,22200.0,6.019522776572668
2008,56,US-born,7922500,167300.0,2.111707163142947
2009,1,Foreign-born,4140800,34800.0,0.8404173106646059
2009,1,US-born,67119700,2195100.0,3.2704258213311443
2009,2,Foreign-born,930800,5700.0,0.6123764503652771
2009,2,US-born,11289800,254600.0,2.2551329518680583
2009,4,Foreign-born,24076300,826700.0,3.4336671332389113
2009,4,US-born,84744200,2566700.0,3.0287618503685207
2009,5,Foreign-born,3289900,59100.0,1.7964071856287425
2009,5,US-born,40423400,1379600.0,3.4128747210773955
2009,6,Foreign-born,212476700,2973800.0,1.3995887549081851
2009,6,US-born,418335800,12886900.0,3.0805157005448733
2009,8,Foreign-born,13613400,245700.0,1.804839349464498
2009,8,US-born,72759900,2018000.0,2.773505735989192
2009,9,Foreign-born,9669900,103400.0,1.0692975108325835
2009,9,US-born,39906300,1211900.0,3.036863853577004
2009,10,Foreign-born,2024300,6500.0,0.3210986513856642
2009,10,US-born,11176100,380300.0,3.4027970401123824
2009,11,Foreign-born,1708400,0.0,0.0
2009,11,US-born,9667300,193000.0,1.996420924146349
2009,12,Foreign-born,64781900,851200.0,1.3139472599599578
2009,12,US-born,204572300,8514500.0,4.162098192179489
2009,13,Foreign-born,26743500,446500.0,1.669564567091069
2009,13,US-born,135945200,5803600.0,4.269073126524511
2009,15,Foreign-born,3184400,10200.0,0.3203115186534355
2009,15,US-born,18415300,312800.0,1.6985875874951808
2009,16,Foreign-born,2383800,39100.0,1.6402382750230724
2009,16,US-born,22478300,529600.0,2.356050057166245
2009,17,Foreign-born,41503000,377800.0,0.9102956412789437
2009,17,US-born,168241100,3868100.0,2.299140935241151
2009,18,Foreign-born,8129700,68300.0,0.840129402068957
