period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,incarceration_rate_per_100k
2008-2013,55,US-born,473362000,14645600.0,3093.9534647901605
2008-2013,56,Foreign-born,2273700,50200.0,2207.8550380437173
2008-2013,56,US-born,51907100,1045800.0,2014.753280379755
2014-2019,1,Foreign-born,24390000,225000.0,922.509225092251
2014-2019,1,US-born,404336100,13533200.0,3347.0174936148414
2014-2019,2,Foreign-born,5855100,37200.0,635.343546651637
2014-2019,2,US-born,74105300,1691400.0,2282.427842542976
2014-2019,4,Foreign-born,106065600,4127600.0,3891.5539062617854
2014-2019,4,US-born,547584900,22451600.0,4100.113060093512
2014-2019,5,Foreign-born,21659600,229600.0,1060.0380431771594
2014-2019,5,US-born,244318300,9089400.0,3720.3107585473535
2014-2019,6,Foreign-born,1050113400,10204200.0,971.7236252770415
2014-2019,6,US-born,2897163400,69418300.0,2396.078177709963
2014-2019,8,Foreign-born,70682500,930400.0,1316.3088458953773
2014-2019,8,US-born,498932900,12265600.0,2458.366646096098
2014-2019,9,Foreign-born,57492900,335100.0,582.8545785653532
2014-2019,9,US-born,248130600,5608600.0,2260.341932836982
2014-2019,10,Foreign-born,11888000,33200.0,279.27321668909826
2014-2019,10,US-born,70772600,2341700.0,3308.766386991576
2014-2019,11,Foreign-born,13001400,15100.0,116.14133862507116
2014-2019,11,US-born,70501200,1270300.0,1801.8133024686106
2014-2019,12,Foreign-born,400892200,4308600.0,1074.7527639599873
2014-2019,12,US-born,1333200800,48731300.0,3655.210827956299
2014-2019,13,Foreign-born,138182100,3068600.0,2220.692839376446
2014-2019,13,US-born,822304300,33036500.0,4017.5516533234713
2014-2019,15,Foreign-born,18664900,250900.0,1344.2343650381197
2014-2019,15,US-born,116560900,1569400.0,1346.4206264707977
2014-2019,16,Foreign-born,13422000,282900.0,2107.733571747877
2014-2019,16,US-born,143867800,3752900.0,2608.5753726685193
2014-2019,17,Foreign-born,202013000,1315200.0,651.0472098330306
2014-2019,17,US-born,992722800,26544300.0,2673.888420815962
2014-2019,18,Foreign-born,50663900,527200.0,1040.583137105513
2014-2019,18,US-born,557165600,17532600.0,3146.7484711906122
2014-2019,19,Foreign-born,25030500,351000.0,1402.2892071672559
2014-2019,19,US-born,261492700,4812700.0,1840.4720284734526
2014-2019,20,Foreign-born,29506800,328800.0,1114.319411118793
2014-2019,20,US-born,245486000,6758700.0,2753.1916280358146
2014-2019,21,Foreign-born,25467900,222400.0,873.2561381189654
2014-2019,21,US-born,374245600,13192300.0,3525.038103320386
2014-2019,22,Foreign-born,27327300,1201900.0,4398.165936627475
2014-2019,22,US-born,412119000,21371700.0,5185.807982645789
2014-2019,23,Foreign-born,3776800,28000.0,741.3683541622538
2014-2019,23,US-born,101876100,1581600.0,1552.4740346361905
2014-2019,24,Foreign-born,105656500,854300.0,808.5635999678202
2014-2019,24,US-born,438288400,12455700.0,2841.89588407998
2014-2019,25,Foreign-born,132861000,995500.0,749.2793219981786
2014-2019,25,US-born,492346200,6834300.0,1388.1086113795536
2014-2019,26,Foreign-born,79307200,419200.0,528.5774809853331
2014-2019,26,US-born,802474400,19202500.0,2392.9112255792834
2014-2019,27,Foreign-born,62811400,635100.0,1011.1221848263214
