period,STATEFIP,citizenship_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2020-2024,29,Non-citizen / foreign-born unknown,65047700,18771000.0,28.857284731051212
2020-2024,29,US-born,2935630700,244679100.0,8.33480519194734
2020-2024,30,Naturalized citizen,7012200,277100.0,3.9516842075240297
2020-2024,30,Non-citizen / foreign-born unknown,4961900,1248800.0,25.16777847195631
2020-2024,30,US-born,539855500,44409200.0,8.226127176624114
2020-2024,31,Naturalized citizen,32779500,3350000.0,10.219802010402844
2020-2024,31,Non-citizen / foreign-born unknown,44076300,16178200.0,36.704986580089525
2020-2024,31,US-born,895369600,51050500.0,5.701611937684728
2020-2024,32,Naturalized citizen,161728400,14158500.0,8.754492099099478
2020-2024,32,Non-citizen / foreign-born unknown,142026600,54142600.0,38.12145048885209
2020-2024,32,US-born,1259882100,111149300.0,8.822198521591822
2020-2024,33,Naturalized citizen,26475700,1617900.0,6.110886586568061
2020-2024,33,Non-citizen / foreign-born unknown,16780700,3315600.0,19.758412938673594
2020-2024,33,US-born,644870100,29867900.0,4.63161495625243
2020-2024,34,Naturalized citizen,621978300,41798200.0,6.720202296446677
2020-2024,34,Non-citizen / foreign-born unknown,471651200,158268400.0,33.556238169223356
2020-2024,34,US-born,3410169200,128788900.0,3.7766131956150444
2020-2024,35,Naturalized citizen,43053700,4392200.0,10.201678369106489
2020-2024,35,Non-citizen / foreign-born unknown,55637000,23072300.0,41.46934593885364
2020-2024,35,US-born,946474000,71292600.0,7.532441461677763
2020-2024,36,Naturalized citizen,1343059800,55070900.0,4.100405655801775
2020-2024,36,Non-citizen / foreign-born unknown,892393900,164715000.0,18.457656422797154
2020-2024,36,US-born,7345695600,264156600.0,3.5960733249006402
2020-2024,37,Naturalized citizen,203864900,21593500.0,10.59206366569233
2020-2024,37,Non-citizen / foreign-born unknown,265901600,116928100.0,43.97419947830325
2020-2024,37,US-born,4830733900,378106700.0,7.827106767358889
2020-2024,38,Naturalized citizen,7297800,847200.0,11.608978048178903
2020-2024,38,Non-citizen / foreign-born unknown,10080300,1454600.0,14.430126087517237
2020-2024,38,US-born,367622100,21447900.0,5.834224873858237
2020-2024,39,Naturalized citizen,160093900,13014500.0,8.129291621979352
2020-2024,39,Non-citizen / foreign-born unknown,136337400,36649800.0,26.88169203754802
2020-2024,39,US-born,5537400200,331886400.0,5.99354187909337
2020-2024,40,Naturalized citizen,50115900,7532500.0,15.030160088913897
2020-2024,40,Non-citizen / foreign-born unknown,72030300,33683200.0,46.76254298538254
2020-2024,40,US-born,1870300500,219659900.0,11.744631410834783
2020-2024,41,Naturalized citizen,102521600,5527700.0,5.391741837817592
2020-2024,41,Non-citizen / foreign-born unknown,104010500,26017100.0,25.013916864162756
2020-2024,41,US-born,1887701700,95121600.0,5.039016492913049
2020-2024,42,Naturalized citizen,275583600,19105900.0,6.932887152936532
2020-2024,42,Non-citizen / foreign-born unknown,218361800,52864200.0,24.209454217724897
2020-2024,42,US-born,5861818400,303321700.0,5.174532530724596
2020-2024,44,Naturalized citizen,44764600,1911000.0,4.268998270955175
2020-2024,44,Non-citizen / foreign-born unknown,36630400,7443300.0,20.320007425526338
2020-2024,44,US-born,450281600,13088700.0,2.9067810010446795
2020-2024,45,Naturalized citizen,66701200,6864200.0,10.29096927791404
2020-2024,45,Non-citizen / foreign-born unknown,81042300,36145900.0,44.6012761237033
2020-2024,45,US-born,2473586900,210422400.0,8.50677208874287
2020-2024,46,Naturalized citizen,7901500,591800.0,7.48971714231475
2020-2024,46,Non-citizen / foreign-born unknown,8936600,2210900.0,24.739833941319965
2020-2024,46,US-born,435292600,37400700.0,8.592082658882784
2020-2024,47,Naturalized citizen,80244800,9947200.0,12.396068031822622
2020-2024,47,Non-citizen / foreign-born unknown,117569300,56543400.0,48.0936775161543
2020-2024,47,US-born,3295117200,284615700.0,8.637498538746968
2020-2024,48,Naturalized citizen,1110605000,172833200.0,15.56207652585753
2020-2024,48,Non-citizen / foreign-born unknown,1510382300,707419900.0,46.83714182826427
2020-2024,48,US-born,12191348000,1712143900.0,14.043926069537182
2020-2024,49,Naturalized citizen,62575400,7009400.0,11.20152647845639
2020-2024,49,Non-citizen / foreign-born unknown,85188200,32433700.0,38.0729960252711
2020-2024,49,US-born,1523992500,103213700.0,6.772585823092961
2020-2024,50,Naturalized citizen,9361200,294400.0,3.1448959535102334
2020-2024,50,Non-citizen / foreign-born unknown,5176100,621700.0,12.01097351287649
2020-2024,50,US-born,303288200,11231100.0,3.7031114299863956
2020-2024,51,Naturalized citizen,317938900,23211600.0,7.300648017590801
2020-2024,51,Non-citizen / foreign-born unknown,235584400,77726600.0,32.993101410789514
2020-2024,51,US-born,3696903700,189861800.0,5.135697746197717
2020-2024,53,Naturalized citizen,295555900,16697300.0,5.649455822062763
2020-2024,53,Non-citizen / foreign-born unknown,301858000,71786500.0,23.781546289977406
2020-2024,53,US-born,3228698000,154506300.0,4.785405757986656
2020-2024,54,Naturalized citizen,8539000,547400.0,6.410586719756411
2020-2024,54,Non-citizen / foreign-born unknown,7517400,1428000.0,18.99592944369064
2020-2024,54,US-born,868187900,56824100.0,6.545138442956875
2020-2024,55,Naturalized citizen,73392400,4254000.0,5.79624048266578
2020-2024,55,Non-citizen / foreign-born unknown,80042800,23433800.0,29.27658702594112
2020-2024,55,US-born,2769092800,133250600.0,4.812066970092154
2020-2024,56,Naturalized citizen,4267900,671200.0,15.726703999625109
2020-2024,56,Non-citizen / foreign-born unknown,5565100,2118400.0,38.06580295053099
2020-2024,56,US-born,278298200,29536600.0,10.613291785573892
