YEAR,STATEFIP,citizenship_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2008,32,Naturalized citizen,18135100,2725200.0,15.02721242231915
2008,32,Non-citizen / foreign-born unknown,31603700,15583000.0,49.307517790638435
2008,32,US-born,206071900,36264900.0,17.598178111620264
2008,33,Naturalized citizen,3477800,431100.0,12.395767439185693
2008,33,Non-citizen / foreign-born unknown,2905300,762900.0,26.258906137059856
2008,33,US-born,123477300,12669700.0,10.26075238120691
2008,34,Naturalized citizen,86019600,11385100.0,13.23547191570293
2008,34,Non-citizen / foreign-born unknown,86685300,36660000.0,42.290907454897194
2008,34,US-born,673054400,53924400.0,8.0118932436962
2008,35,Naturalized citizen,5226100,1006500.0,19.25910334666386
2008,35,Non-citizen / foreign-born unknown,13232800,7656900.0,57.86303730125144
2008,35,US-born,177805500,32356100.0,18.197468582242955
2008,36,Naturalized citizen,218972600,22658100.0,10.347458997153067
2008,36,Non-citizen / foreign-born unknown,203444900,75703600.0,37.210861515820746
2008,36,US-born,1479491000,121908400.0,8.239887907395179
2008,37,Naturalized citizen,17845000,3401300.0,19.06024096385542
2008,37,Non-citizen / foreign-born unknown,46395900,26848000.0,57.86718222946424
2008,37,US-born,849820000,112361500.0,13.221799910569295
2008,38,Naturalized citizen,623400,57200.0,9.175489252486365
2008,38,Non-citizen / foreign-born unknown,808500,198500.0,24.551638837353124
2008,38,US-born,62331400,5730500.0,9.19360065713268
2008,39,Naturalized citizen,21092400,2340500.0,11.096413874191652
2008,39,Non-citizen / foreign-born unknown,22203200,6359200.0,28.640916624630684
2008,39,US-born,1097867700,122552100.0,11.162738461109658
2008,40,Naturalized citizen,6133300,1668700.0,27.2072130826798
2008,40,Non-citizen / foreign-born unknown,12040900,6327600.0,52.55088905314387
2008,40,US-born,342615400,59924900.0,17.490428042639063
2008,41,Naturalized citizen,13064600,2070400.0,15.847404436415962
2008,41,Non-citizen / foreign-born unknown,23181800,9983100.0,43.06438671716605
2008,41,US-born,339384600,49015500.0,14.442464389957587
2008,42,Naturalized citizen,32246300,3250700.0,10.080846484712975
2008,42,Non-citizen / foreign-born unknown,34173900,10447600.0,30.571869175013678
2008,42,US-born,1161241100,100157100.0,8.625004747076211
2008,44,Naturalized citizen,6511400,806700.0,12.389040759283718
2008,44,Non-citizen / foreign-born unknown,6636100,2435700.0,36.70378686276578
2008,44,US-born,89991300,7119300.0,7.911098072813704
2008,45,Naturalized citizen,6353500,1058700.0,16.66325647281026
2008,45,Non-citizen / foreign-born unknown,12765100,7069000.0,55.37755285896703
2008,45,US-born,425279000,64993300.0,15.28250865902149
2008,46,Naturalized citizen,796300,61900.0,7.773452216501318
2008,46,Non-citizen / foreign-born unknown,752500,114800.0,15.255813953488373
2008,46,US-born,78510100,8694100.0,11.073861834337238
2008,47,Naturalized citizen,8039500,1187200.0,14.76708750544188
2008,47,Non-citizen / foreign-born unknown,17002500,8924100.0,52.48698720776357
2008,47,US-born,592236200,71996300.0,12.156686808405158
2008,48,Naturalized citizen,122963900,30760300.0,25.015715994694375
2008,48,Non-citizen / foreign-born unknown,264520800,164369600.0,62.138629552004986
2008,48,US-born,2015686400,373226700.0,18.516109450358943
2008,49,Naturalized citizen,6931100,979900.0,14.137727056311409
2008,49,Non-citizen / foreign-born unknown,15516800,8203100.0,52.865925964116315
2008,49,US-born,248462100,30651500.0,12.336489146634436
2008,50,Naturalized citizen,1401500,45800.0,3.2679272208348196
2008,50,Non-citizen / foreign-born unknown,1030100,241800.0,23.47344917969129
2008,50,US-born,58980600,4779800.0,8.104020644076188
2008,51,Naturalized citizen,36412000,4917400.0,13.504888498297266
2008,51,Non-citizen / foreign-born unknown,42929500,17073100.0,39.770088167810016
2008,51,US-born,685231200,65852200.0,9.610216230667838
2008,53,Naturalized citizen,34822200,4610000.0,13.238681071270625
2008,53,Non-citizen / foreign-born unknown,45790900,15925000.0,34.77765232830104
2008,53,US-born,564218500,61061800.0,10.822367575682117
2008,54,Naturalized citizen,1146600,176700.0,15.410779696493982
2008,54,Non-citizen / foreign-born unknown,1293100,619200.0,47.88492769314052
2008,54,US-born,178386400,25817600.0,14.472852190525733
2008,55,Naturalized citizen,10730300,1188500.0,11.076111571903862
2008,55,Non-citizen / foreign-born unknown,14649000,5490400.0,37.479691446515126
2008,55,US-born,533779700,42736100.0,8.00631796226046
2008,56,Naturalized citizen,423300,65600.0,15.497283250649657
2008,56,Non-citizen / foreign-born unknown,840200,290700.0,34.598905022613664
2008,56,US-born,51624500,7137700.0,13.826187178568317
2009,1,Naturalized citizen,4703400,815300.0,17.33426882680614
2009,1,Non-citizen / foreign-born unknown,10235600,5426700.0,53.01789831568252
2009,1,US-born,452238000,60114400.0,13.292646792175802
2009,2,Naturalized citizen,2712100,295000.0,10.877180044983593
2009,2,Non-citizen / foreign-born unknown,2224100,806600.0,36.26635493008408
2009,2,US-born,63212500,12787400.0,20.22922681431679
2009,4,Naturalized citizen,29452000,5146200.0,17.473176694282223
2009,4,Non-citizen / foreign-born unknown,63052600,32521500.0,51.5783647303997
