YEAR,STATEFIP,Foreign-born,US-born,brain_waste_rate_pct_gap_foreign_minus_us
2008,1,37.60462638867752,35.59563021654584,2.008996172131674
2008,2,56.462161320460915,37.53122218713215,18.930939133328764
2008,4,36.88299984167773,35.717380069313556,1.165619772364174
2008,5,29.599823613714033,40.154039063501074,-10.55421544978704
2008,6,37.651049848931066,32.833610790154296,4.81743905877677
2008,8,37.82383419689119,36.201779976885724,1.6220542200054666
2008,9,34.39072039072039,34.994600225009414,-0.6038798342890246
2008,10,28.934270238618065,31.75553932310689,-2.8212690844888257
2008,11,31.431426430177368,25.76449364128377,5.666932788893597
2008,12,47.42170241573434,36.705747918562565,10.715954497171772
2008,13,41.27961626717536,36.30714187765685,4.97247438951851
2008,15,48.37841768470041,40.82446808510639,7.55394959959402
2008,16,24.646983311938385,35.37221362399419,-10.725230312055807
2008,17,37.25571221955442,35.06231578295333,2.193396436601091
2008,18,25.650257798772934,34.70358160121573,-9.053323802442797
2008,19,21.55872271333213,34.635450171113916,-13.076727457781786
2008,20,25.33881707794751,34.69567006636631,-9.356852988418801
2008,21,30.01897722732721,37.12638071841969,-7.10740349109248
2008,22,36.50248841599451,33.989655627243366,2.5128327887511475
2008,23,20.66891241578441,34.552549771810305,-13.883637356025897
2008,24,30.46125116713352,30.254760406217347,0.20649076091617147
2008,25,27.157319528329023,32.60201200278268,-5.444692474453657
2008,26,24.064246202229523,35.333521918752666,-11.269275716523143
2008,27,27.14785651793526,35.00052074809183,-7.85266423015657
2008,28,34.12659227806853,34.381543858393144,-0.2549515803246152
2008,29,26.691522523073164,34.740849515045845,-8.04932699197268
2008,30,41.8075422626788,39.50919335705812,2.298348905620678
2008,31,29.070201643017178,35.788112443574796,-6.717910800557618
2008,32,53.79962403915949,39.50071497964218,14.298909059517307
2008,33,37.04939919893191,34.058724832214764,2.990674366717144
2008,34,35.96969282809991,33.41635861791764,2.553334210182271
2008,35,25.985676047167765,30.55150806406224,-4.5658320168944755
2008,36,39.1993291555296,34.344008613184855,4.855320542344742
2008,37,38.390234196697136,35.59755513739232,2.7926790593048167
2008,38,54.47647951441578,42.54649800581801,11.92998150859777
2008,39,26.341747480509603,34.43653702483763,-8.094789544328023
2008,40,30.876747141041932,35.716737106358636,-4.839989965316704
2008,41,33.95432954198806,36.321366586808125,-2.3670370448200657
2008,42,30.080707818669033,34.79526644684462,-4.714558628175588
2008,44,33.735466386921935,35.100017096939645,-1.36455071001771
2008,45,32.469939231995866,38.31006130193636,-5.840122069940492
2008,46,75.16272696128812,37.812457692828396,37.35026926845972
2008,47,32.757046505463435,36.25521174854937,-3.4981652430859356
2008,48,35.089335800570105,33.50940679298726,1.579929007582848
2008,49,40.76859897116673,31.2985678504913,9.470031120675433
2008,50,23.607562595809913,36.50218642657006,-12.89462383076015
2008,51,35.606683424515744,31.875602926726636,3.731080497789108
2008,53,31.3572530237844,35.920947577851955,-4.563694554067556
2008,54,22.768942937324603,32.66160549145249,-9.892662554127888
2008,55,30.84524126505133,34.800187653027564,-3.954946387976232
2008,56,14.950980392156863,38.96636085626911,-24.015380464112248
2009,1,29.461973722067707,34.809995294784294,-5.348021572716586
2009,2,41.936156895472564,31.307147456535738,10.629009438936826
2009,4,33.899532394850205,35.22678398191669,-1.3272515870664847
2009,5,24.983759906457063,32.81411528037775,-7.8303553739206855
2009,6,34.861710762241884,32.67012132019681,2.1915894420450712
2009,8,38.16087394846877,35.3827354873019,2.7781384611668685
2009,9,31.198466220655074,33.91810509778646,-2.719638877131384
2009,10,29.56070114693789,32.757438485662576,-3.1967373387246845
2009,11,14.80616787924856,25.06771525083402,-10.26154737158546
2009,12,44.225995879690764,36.765830500261224,7.46016537942954
2009,13,34.13733190190982,35.47052993112797,-1.3331980292181527
2009,15,41.11752604685115,41.10912174896344,0.008404297887707912
2009,16,38.30800927118207,34.087861146210436,4.220148124971637
2009,17,35.152336821048195,34.47044357442834,0.6818932466198575
2009,18,29.199231599168442,34.70036895771177,-5.501137358543325
2009,19,27.68302963491343,35.246715292463826,-7.563685657550394
2009,20,23.12994402553546,34.35863216299966,-11.228688137464204
2009,21,31.874828438100465,35.78390481029719,-3.909076372196722
2009,22,36.55214976342317,32.31048105216953,4.241668711253638
2009,23,17.424469039784622,34.531845588744886,-17.107376548960264
2009,24,29.802973047534113,29.976770302015126,-0.1737972544810127
2009,25,29.957525954850254,32.61235478533676,-2.654828830486508
2009,26,25.781892032305294,35.101628962303074,-9.31973692999778
2009,27,27.61041787086464,35.99955661643677,-8.38913874557213
2009,28,22.54554987547516,34.12646993565565,-11.580920060180489
2009,29,28.225806451612907,35.23867883859097,-7.012872386978064
2009,30,32.191095547773884,34.94265963398066,-2.751564086206777
2009,31,49.23765859899776,34.17490373546108,15.062754863536682
2009,32,49.10147757021787,39.28099968675885,9.82047788345902
2009,33,36.6764922623434,33.165260987991296,3.511231274352106
2009,34,33.02057301299459,34.04657819749467,-1.0260051845000788
2009,35,37.78618485421695,32.35263114744498,5.433553706771967
2009,36,38.57036277161242,33.04413712817631,5.526225643436113
2009,37,36.239753863109314,34.494119775841696,1.745634087267618
2009,38,37.57592490336831,39.38281377954905,-1.806888876180743
2009,39,22.984648339878618,33.05474151809346,-10.07009317821484
2009,40,29.82576308917334,36.16595304115513,-6.340189951981788
2009,41,33.86379592791949,34.814749625979054,-0.9509536980595641
2009,42,27.389754056050126,33.94671347114652,-6.556959415096397
2009,44,41.23348017621145,33.752428487940485,7.481051688270966
2009,45,32.51507321274763,37.134069580445875,-4.618996367698244
2009,46,19.695613249776187,35.57546755212657,-15.879854302350381
2009,47,33.120652685529,35.87931129325045,-2.7586586077214506
2009,48,30.73171571496732,32.11795144777727,-1.3862357328099542
2009,49,38.16254416961131,33.11012111378666,5.052423055824647
2009,50,42.429193899782135,33.26161061818533,9.167583281596805
2009,51,33.533389738689,31.448100113359455,2.0852896253295476
2009,53,31.63435340572557,34.234672670336124,-2.6003192646105546
2009,54,11.582346609257266,32.58474219867104,-21.002395589413773
2009,55,25.322114120431237,32.564115672341224,-7.242001551909986
2009,56,21.91235059760956,32.76885644768856,-10.856505850079003
2010,1,31.8844409213018,34.59215990577126,-2.7077189844694622
2010,2,48.81969587255612,35.708224088358605,13.111471784197512
2010,4,38.60692937790569,33.45749287738297,5.149436500522725
2010,5,33.05805197959679,34.39414230948009,-1.336090329883298
2010,6,36.757623240790586,32.80068845624563,3.9569347845449556
2010,8,39.61781005159564,36.0371142397852,3.5806958118104433
2010,9,34.52109009774756,32.484063386868826,2.0370267108787345
2010,10,30.150514200095348,30.743168764866276,-0.5926545647709283
