YEAR,STATEFIP,nativity_group,weighted_population,weighted_mean_income
2009,23,Foreign-born,4497600,26766.1876705653
2009,23,US-born,125870400,29487.014763983796
2009,24,Foreign-born,73353100,36637.58233018553
2009,24,US-born,489566400,43489.862424685474
2009,25,Foreign-born,94806100,36049.637611175494
2009,25,US-born,548880800,42224.92882477608
2009,26,Foreign-born,60331800,31302.548969343996
2009,26,US-born,930226700,29413.617596521304
2009,27,Foreign-born,35571900,28025.47970256231
2009,27,US-born,488013500,36795.60827334521
2009,28,Foreign-born,5783800,25597.080050448847
2009,28,US-born,287710600,24706.355061893777
2009,29,Foreign-born,21198000,33678.77515926866
2009,29,US-born,573789700,29829.216383324125
2009,30,Foreign-born,1991500,27365.289870022694
2009,30,US-born,94734600,27885.39461974691
2009,31,Foreign-born,10295100,19643.938427315272
2009,31,US-born,168027300,31948.470289452984
2009,32,Foreign-born,50481100,26029.276429789414
2009,32,US-born,210011900,35065.41311207709
2009,33,Foreign-born,7162700,34784.684462797726
2009,33,US-born,123817200,37215.3681457587
2009,34,Foreign-born,175550300,38049.92796573753
2009,34,US-born,673657600,44748.51493860888
2009,35,Foreign-born,20088000,20918.345905846327
2009,35,US-born,178305200,29408.28670140289
2009,36,Foreign-born,416126900,32342.91547476647
2009,36,US-born,1491249200,40279.05795276373
2009,37,Foreign-born,67096400,25705.89132925092
2009,37,US-born,861142100,30299.07668659054
2009,38,Foreign-born,1671000,28332.201660568535
2009,38,US-born,62541600,34081.07006065256
2009,39,Foreign-born,42899800,32977.25873940081
2009,39,US-born,1103425000,29905.90575526928
2009,40,Foreign-born,19512400,23009.940371715817
2009,40,US-born,346304200,28725.58372296011
2009,41,Foreign-born,37408200,25649.495617940134
2009,41,US-born,341325000,32062.58586397834
2009,42,Foreign-born,67195000,34298.530449931226
2009,42,US-born,1174616500,32859.619557559825
2009,44,Foreign-born,13613100,24805.54276504243
2009,44,US-born,89772800,36748.80843827737
2009,45,Foreign-born,20890400,25147.97774590567
2009,45,US-born,430634000,28264.543058751602
2009,46,Foreign-born,1800100,24838.070008899438
2009,46,US-born,78888100,29578.34164890928
2009,47,Foreign-born,26450000,28931.58996702489
2009,47,US-born,598528500,28319.607328211318
2009,48,Foreign-born,398644500,23862.94189562435
2009,48,US-born,2050336700,33437.44385925397
2009,49,Foreign-born,21503600,22496.795080037075
2009,49,US-born,254213900,30993.536436558537
2009,50,Foreign-born,2155500,31227.387207456344
2009,50,US-born,59581200,32829.49479303581
2009,51,Foreign-born,80612300,36503.434495316
2009,51,US-born,694510300,39009.91744654019
2009,53,Foreign-born,80767800,31605.295792274857
2009,53,US-born,574925200,36418.149503737644
2009,54,Foreign-born,2178100,44024.536051715564
2009,54,US-born,179129100,25722.57066784971
2009,55,Foreign-born,25447600,28110.697722059034
2009,55,US-born,535493500,32469.77767091728
2009,56,Foreign-born,1594600,24261.523655696885
2009,56,US-born,52410300,33999.86569283636
2010,1,Foreign-born,17033100,24167.97221224406
2010,1,US-born,458340200,27610.691234761238
2010,2,Foreign-born,4632200,30009.72490300138
2010,2,US-born,65159500,40376.18853065666
2010,4,Foreign-born,86128700,22427.409384545925
2010,4,US-born,547597700,31205.891112660058
2010,5,Foreign-born,13283200,19968.962444856257
2010,5,US-born,277008900,26052.936659156567
2010,6,Foreign-born,1014206300,28694.002074988708
2010,6,US-born,2674909600,36855.02002798402
2010,8,Foreign-born,49113600,25243.714270740526
2010,8,US-born,448313400,36976.75443211005
2010,9,Foreign-born,47266400,38096.20585031862
2010,9,US-born,297638400,44620.974132383904
2010,10,Foreign-born,6997200,33159.68617810622
2010,10,US-born,81502900,33934.36693629479
2010,11,Foreign-born,7987700,46654.796759636396
2010,11,US-born,51399900,47397.83414937903
2010,12,Foreign-born,366819200,24635.125172708442
2010,12,US-born,1458674200,30827.485430693087
2010,13,Foreign-born,93982000,25856.838209848127
2010,13,US-born,865130900,29950.030933999562
2010,15,Foreign-born,24214700,27451.825661632854
2010,15,US-born,107956700,35453.40054466528
2010,16,Foreign-born,9006300,21831.009115531004
2010,16,US-born,146630200,27642.109759169238
2010,17,Foreign-born,175949100,29022.770861419158
2010,17,US-born,1095301300,35096.78145731181
2010,18,Foreign-born,29990300,26441.66022426201
2010,18,US-born,615373600,28785.1048487595
2010,19,Foreign-born,14080800,22235.713648202138
2010,19,US-born,289667900,31128.328919271746
2010,20,Foreign-born,18714000,24710.04233925382
2010,20,US-born,264789900,32264.7161905736
2010,21,Foreign-born,14675800,27588.798566433037
2010,21,US-born,417065000,26782.35507902549
2010,22,Foreign-born,16696700,28899.89115147686
2010,22,US-born,434828500,28658.743519483567
2010,23,Foreign-born,4790400,27387.18794957789
2010,23,US-born,126703500,29694.792831663734
2010,24,Foreign-born,80619800,37142.233494142514
2010,24,US-born,490522400,42135.89037294115
2010,25,Foreign-born,97510600,35217.08380702271
2010,25,US-born,542199600,41609.3857350777
2010,26,Foreign-born,58254700,31554.91461244905
2010,26,US-born,923968000,29069.37190660701
2010,27,Foreign-born,37835800,29523.91231386223
2010,27,US-born,490022100,36374.24690870742
2010,28,Foreign-born,6298100,20973.31195436079
2010,28,US-born,289417300,24065.857667853717
2010,29,Foreign-born,23294000,28355.778296237608
2010,29,US-born,572749200,29538.676343223982
2010,30,Foreign-born,1985600,21852.889437585734
2010,30,US-born,96295400,29761.04107401716
2010,31,Foreign-born,10926900,21335.66303780179
2010,31,US-born,170853500,31157.473754952425
2010,32,Foreign-born,50890300,25202.688016541702
2010,32,US-born,214943800,33272.026130038736
2010,33,Foreign-born,7069800,38310.84878215817
2010,33,US-born,123415400,37466.43627877329
2010,34,Foreign-born,184611200,36960.43338049005
2010,34,US-born,674260400,43267.114217159506
2010,35,Foreign-born,20815400,19149.0158967598
2010,35,US-born,183724900,28705.176980938693
2010,36,Foreign-born,430147400,30972.92095606447
2010,36,US-born,1462243500,38946.93889918384
2010,37,Foreign-born,71983400,24183.895702244572
2010,37,US-born,874712300,29552.34336436295
2010,38,Foreign-born,1665600,29348.448537789594
2010,38,US-born,65396800,31016.350500685625
2010,39,Foreign-born,46898100,31489.270424269896
2010,39,US-born,1098235100,29610.229871568557
2010,40,Foreign-born,21003500,22817.59472532714
2010,40,US-born,352157200,28386.608711006516
2010,41,Foreign-born,37483600,24989.903846317553
2010,41,US-born,342510200,30868.654924691014
2010,42,Foreign-born,72727900,32836.450051221625
2010,42,US-born,1179670500,31984.996042575123
2010,44,Foreign-born,13062800,26672.226544092395
2010,44,US-born,89828800,34804.404450512695
2010,45,Foreign-born,21321100,24060.37186190381
2010,45,US-born,437103000,27400.732363649502
2010,46,Foreign-born,2118200,25169.451095394168
2010,46,US-born,78960100,30381.215360109556
2010,47,Foreign-born,29020500,25386.98666185745
2010,47,US-born,601670000,27711.49805245564
2010,48,Foreign-born,414037900,23643.6769073517
2010,48,US-born,2082333400,32509.709157956295
2010,49,Foreign-born,22855200,21036.303922998395
2010,49,US-born,251574400,30853.2813915715
2010,50,Foreign-born,2797900,33474.283691200675
2010,50,US-born,59214100,32384.252177691422
2010,51,Foreign-born,90358300,35996.69430413875
2010,51,US-born,698526100,38784.535996369
2010,53,Foreign-born,89393400,30411.558764584337
2010,53,US-born,574242600,35654.87835467448
2010,54,Foreign-born,2254400,29843.75795582179
2010,54,US-born,182591800,25108.403503318124
2010,55,Foreign-born,25176300,27455.702665427267
2010,55,US-born,539731700,31882.930262195896
2010,56,Foreign-born,1657200,29949.740391099123
2010,56,US-born,54394800,34917.365361324184
2011,1,Foreign-born,16153400,24074.57060035902
2011,1,US-born,460435400,27708.628115656014
2011,2,Foreign-born,4471900,28573.495527385792
2011,2,US-born,66482300,40961.747310923056
2011,4,Foreign-born,86899200,22705.23773699995
2011,4,US-born,553398800,30779.282012704545
2011,5,Foreign-born,12612500,23719.650607779226
2011,5,US-born,279354900,26241.009907148713
2011,6,Foreign-born,1021967500,28976.861893171557
2011,6,US-born,2702078700,36859.01956289284
2011,8,Foreign-born,49516300,26728.23861923714
2011,8,US-born,455036700,37973.364244017685
2011,9,Foreign-born,47724700,39040.69879086353
2011,9,US-born,297396800,44891.47928249275
2011,10,Foreign-born,7816400,36484.00993122494
2011,10,US-born,81365500,34776.947173084445
2011,11,Foreign-born,8382300,47358.74846382065
2011,11,US-born,52458600,51157.943541302026
2011,12,Foreign-born,369962200,25474.483643407064
2011,12,US-born,1474435200,31044.053296379618
2011,13,Foreign-born,94565900,24933.02561270619
2011,13,US-born,873606300,29955.304207853133
2011,15,Foreign-born,24823000,27580.83409492579
2011,15,US-born,108105300,34601.46982081051
2011,16,Foreign-born,9287400,20586.302683454152
2011,16,US-born,147635100,27914.17535514123
2011,17,Foreign-born,179124900,29323.914370991366
2011,17,US-born,1094286900,35377.23704747142
2011,18,Foreign-born,30102600,26429.555179955532
2011,18,US-born,617326600,29234.696236978303
2011,19,Foreign-born,13247500,27318.21773492645
2011,19,US-born,291471200,31871.644602513592
2011,20,Foreign-born,19356100,27459.901516802147
2011,20,US-born,265228000,32117.63295663944
2011,21,Foreign-born,14343000,28927.645818628203
2011,21,US-born,419437700,27037.80176644907
2011,22,Foreign-born,17303100,26437.432637674166
2011,22,US-born,437541700,28354.53997612293
2011,23,Foreign-born,4418700,29063.037761471387
2011,23,US-born,127004000,29940.641986056104
2011,24,Foreign-born,79764000,37066.93182001371
2011,24,US-born,495092500,42955.28721847388
2011,25,Foreign-born,98491000,35134.95367258534
2011,25,US-born,543186500,42008.346532617965
2011,26,Foreign-born,60699900,31391.171758931767
2011,26,US-born,919694100,29453.103858364764
2011,27,Foreign-born,39488100,27175.0421572444
2011,27,US-born,492346700,36763.631960463914
2011,28,Foreign-born,6816600,22016.51305707584
2011,28,US-born,289565500,24463.22789495143
2011,29,Foreign-born,24989100,27030.774281741364
2011,29,US-born,572129900,30258.896778035127
2011,30,Foreign-born,2024900,24977.784583126413
2011,30,US-born,97229600,29697.875078564957
2011,31,Foreign-born,11403600,23244.1757525368
2011,31,US-born,171794200,32988.560210130214
2011,32,Foreign-born,52317600,24807.16005027965
2011,32,US-born,215499100,32281.918390966293
2011,33,Foreign-born,7045300,45099.96990279539
2011,33,US-born,123002600,37800.68866256615
2011,34,Foreign-born,187709500,37357.20936635914
2011,34,US-born,671730500,43505.399935938716
2011,35,Foreign-born,21153300,19738.14584265708
2011,35,US-born,184983200,29641.796752016977
2011,36,Foreign-born,432088800,31449.120107567524
2011,36,US-born,1466660400,39313.00476882877
2011,37,Foreign-born,70811000,25305.50991063357
2011,37,US-born,884529400,30004.230641064598
2011,38,Foreign-born,1664900,22460.198128381344
2011,38,US-born,66415600,34130.865510532385
2011,39,Foreign-born,45266900,33657.452626421844
2011,39,US-born,1100690400,29910.27860279712
2011,40,Foreign-born,20771800,21645.303113331443
2011,40,US-born,354626700,29088.164788667516
2011,41,Foreign-born,36883900,26115.004961433508
2011,41,US-born,346407000,31320.92648475364
