YEAR,country,country_key,iso3,is_aggregate,sex,age,comparison_group,comparison_label,reporting_country_rate_pct,comparison_rate_pct,employment_rate_gap_pp
2014,Austria,AUT,AUT,0,Total,From 15 to 24 years,non_eu,Non-EU27 citizens,53.2,39.5,-13.700000000000003
2014,Austria,AUT,AUT,0,Total,From 15 to 29 years,eu27_total,EU27 citizens,63.3,63.3,0.0
2014,Austria,AUT,AUT,0,Total,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,63.3,63.0,-0.29999999999999716
2014,Austria,AUT,AUT,0,Total,From 15 to 29 years,foreign_country,Foreign-country citizens,63.3,55.2,-8.099999999999994
2014,Austria,AUT,AUT,0,Total,From 15 to 29 years,non_eu,Non-EU27 citizens,63.3,47.7,-15.599999999999994
2014,Austria,AUT,AUT,0,Total,From 15 to 39 years,eu27_total,EU27 citizens,73.0,72.9,-0.09999999999999432
2014,Austria,AUT,AUT,0,Total,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,73.0,71.7,-1.2999999999999972
2014,Austria,AUT,AUT,0,Total,From 15 to 39 years,foreign_country,Foreign-country citizens,73.0,63.9,-9.100000000000001
2014,Austria,AUT,AUT,0,Total,From 15 to 39 years,non_eu,Non-EU27 citizens,73.0,56.2,-16.799999999999997
2014,Austria,AUT,AUT,0,Total,From 15 to 59 years,eu27_total,EU27 citizens,77.1,76.9,-0.19999999999998863
2014,Austria,AUT,AUT,0,Total,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,77.1,74.2,-2.8999999999999915
2014,Austria,AUT,AUT,0,Total,From 15 to 59 years,foreign_country,Foreign-country citizens,77.1,65.7,-11.399999999999991
2014,Austria,AUT,AUT,0,Total,From 15 to 59 years,non_eu,Non-EU27 citizens,77.1,57.1,-19.999999999999993
2014,Austria,AUT,AUT,0,Total,From 15 to 64 years,eu27_total,EU27 citizens,72.3,72.4,0.10000000000000853
2014,Austria,AUT,AUT,0,Total,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,72.3,72.9,0.6000000000000085
2014,Austria,AUT,AUT,0,Total,From 15 to 64 years,foreign_country,Foreign-country citizens,72.3,63.9,-8.399999999999999
2014,Austria,AUT,AUT,0,Total,From 15 to 64 years,non_eu,Non-EU27 citizens,72.3,55.0,-17.299999999999997
2015,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,50.2,49.9,-0.30000000000000426
2015,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,50.2,45.8,-4.400000000000006
2015,Austria,AUT,AUT,0,Females,From 15 to 24 years,foreign_country,Foreign-country citizens,50.2,40.0,-10.200000000000003
2015,Austria,AUT,AUT,0,Females,From 15 to 24 years,non_eu,Non-EU27 citizens,50.2,35.4,-14.800000000000004
2015,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu27_total,EU27 citizens,61.7,61.5,-0.20000000000000284
2015,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,61.7,60.1,-1.6000000000000014
2015,Austria,AUT,AUT,0,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,61.7,50.1,-11.600000000000001
2015,Austria,AUT,AUT,0,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,61.7,40.4,-21.300000000000004
2015,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu27_total,EU27 citizens,70.8,70.4,-0.3999999999999915
2015,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,70.8,67.9,-2.8999999999999915
2015,Austria,AUT,AUT,0,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,70.8,57.4,-13.399999999999999
2015,Austria,AUT,AUT,0,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,70.8,46.5,-24.299999999999997
2015,Austria,AUT,AUT,0,Females,From 15 to 59 years,eu27_total,EU27 citizens,74.4,73.9,-0.5
2015,Austria,AUT,AUT,0,Females,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,74.4,69.4,-5.0
2015,Austria,AUT,AUT,0,Females,From 15 to 59 years,foreign_country,Foreign-country citizens,74.4,59.0,-15.400000000000006
2015,Austria,AUT,AUT,0,Females,From 15 to 59 years,non_eu,Non-EU27 citizens,74.4,47.9,-26.500000000000007
2015,Austria,AUT,AUT,0,Females,From 15 to 64 years,eu27_total,EU27 citizens,69.0,68.8,-0.20000000000000284
2015,Austria,AUT,AUT,0,Females,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,69.0,67.1,-1.9000000000000057
2015,Austria,AUT,AUT,0,Females,From 15 to 64 years,foreign_country,Foreign-country citizens,69.0,57.0,-12.0
2015,Austria,AUT,AUT,0,Females,From 15 to 64 years,non_eu,Non-EU27 citizens,69.0,46.1,-22.9
2015,Austria,AUT,AUT,0,Males,From 15 to 24 years,eu27_total,EU27 citizens,55.2,54.6,-0.6000000000000014
