period,STATEFIP,Foreign-born,US-born,brain_waste_rate_pct_gap_foreign_minus_us
2008-2013,1,32.62731845331657,34.96259415942214,-2.33527570610557
2008-2013,2,48.480303149917106,33.88551332914299,14.594789820774118
2008-2013,4,37.267524134658586,35.289406201347816,1.9781179333107701
2008-2013,5,29.100163378157596,35.4688791095391,-6.368715731381506
2008-2013,6,36.503877719934515,33.33160875074262,3.1722689691918973
2008-2013,8,38.48645333927974,36.3886582564087,2.0977950828710377
2008-2013,9,34.46209052355999,33.256870109488176,1.2052204140718175
2008-2013,10,29.69188634029442,32.538500497083156,-2.8466141567887355
2008-2013,11,23.838627929419335,23.63694572359911,0.20168220582022656
2008-2013,12,45.28628007004504,36.57020023225353,8.716079837791511
2008-2013,13,37.61524240944661,36.01035810124643,1.6048843082001767
2008-2013,15,48.08107279266219,39.66350918263172,8.41756361003047
2008-2013,16,31.694567739900414,35.430790624194984,-3.7362228842945697
2008-2013,17,36.73250279946357,35.200310069207944,1.5321927302556233
2008-2013,18,29.617328098073497,35.53180331782853,-5.914475219755037
2008-2013,19,25.1168850368673,35.08030219903202,-9.96341716216472
2008-2013,20,29.856795842277712,35.20165639222353,-5.344860549945821
2008-2013,21,30.347406013838846,36.014725381290404,-5.667319367451558
2008-2013,22,33.63004807349396,33.776729738946074,-0.14668166545211392
2008-2013,23,30.708150219736318,35.68888924536885,-4.980739025632531
2008-2013,24,31.148599212405326,29.89927524587705,1.2493239665282765
2008-2013,25,29.79897205014173,33.12302208749145,-3.3240500373497177
2008-2013,26,25.77893562753984,35.03383622061664,-9.254900593076801
2008-2013,27,31.349427107293014,35.169779838912504,-3.82035273161949
2008-2013,28,35.3370216116533,34.943208485872525,0.393813125780774
2008-2013,29,28.123167801802996,35.629427277030224,-7.506259475227228
2008-2013,30,41.89069587343733,37.52022818909689,4.37046768434044
2008-2013,31,35.59893720267927,35.47730168110862,0.12163552157064572
2008-2013,32,51.80495762597135,39.77136232271801,12.033595303253335
2008-2013,33,32.783623768546704,33.82327096675441,-1.0396471982077031
2008-2013,34,35.12844015269919,33.61130567785465,1.5171344748445392
2008-2013,35,31.109206391068327,31.813342163075287,-0.7041357720069605
2008-2013,36,38.68757893952597,33.78225591857126,4.905323020954711
2008-2013,37,33.60842018272807,36.07203162278038,-2.4636114400523113
2008-2013,38,42.36541598694943,37.804524117973656,4.560891868975773
2008-2013,39,26.490104152266902,34.057707999064654,-7.567603846797752
2008-2013,40,32.78142076502733,36.54332252887504,-3.7619017638477104
2008-2013,41,34.85778957642599,35.58127695477305,-0.723487378347059
2008-2013,42,31.227033317001467,34.18267977064798,-2.955646453646512
2008-2013,44,35.70159434288508,34.502545877046096,1.1990484658389846
2008-2013,45,37.24216839445014,38.08831583369672,-0.8461474392465789
2008-2013,46,38.131065314578564,36.168484151594264,1.9625811629843
2008-2013,47,35.403805928268966,35.707814852942306,-0.3040089246733402
2008-2013,48,33.120698545895266,32.91285300079794,0.207845545097328
2008-2013,49,41.36743251204214,32.64816378191287,8.719268730129272
2008-2013,50,38.41081317400175,33.9309905949504,4.479822579051351
2008-2013,51,34.8529572133308,31.693747811310573,3.159209402020224
2008-2013,53,33.927540834219286,34.840494478942844,-0.912953644723558
2008-2013,54,18.877989402835457,32.56687259792747,-13.688883195092014
2008-2013,55,27.90660064593768,34.291163538186375,-6.384562892248695
2008-2013,56,35.19761941095682,35.85731335366662,-0.6596939427098008
2014-2019,1,31.366468207373842,34.464449480354176,-3.097981272980334
2014-2019,2,51.05801320741319,36.81424157199423,14.243771635418959
2014-2019,4,32.732371794871796,35.28703248432941,-2.554660689457613
2014-2019,5,31.022266096303607,34.41230261228599,-3.390036515982384
2014-2019,6,33.785924755687546,33.10045913891311,0.6854656167744366
2014-2019,8,36.40033371839302,35.080958163628964,1.3193755547640578
2014-2019,9,32.280802949258565,31.579765335976457,0.7010376132821072
2014-2019,10,28.090630446541258,33.11978583094563,-5.029155384404373
2014-2019,11,22.769006865567754,22.650498213012852,0.11850865255490106
2014-2019,12,44.63422777614483,36.92251398756537,7.711713788579466
2014-2019,13,35.73808566378066,35.072213995514225,0.6658716682664334
2014-2019,15,48.7286349120197,40.0516967512391,8.676938160780601
2014-2019,16,33.11339660452982,34.03067141592015,-0.9172748113903353
2014-2019,17,34.65605515624483,34.85535144073119,-0.1992962844863584
2014-2019,18,27.659328965755968,35.521339684069346,-7.862010718313378
2014-2019,19,28.568917512726046,34.20498927698665,-5.636071764260606
2014-2019,20,29.36773539036355,33.43867750745125,-4.070942117087704
2014-2019,21,36.653997506904894,35.67869346935094,0.9753040375539541
2014-2019,22,32.76802460053946,35.19051095916576,-2.4224863586263012
2014-2019,23,33.029791340007236,34.48385908666664,-1.4540677466594047
2014-2019,24,32.28671455363463,29.58545946700329,2.701255086631342
