period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,brain_waste_rate_pct
2008-2013,48,US-born,1266519800,416847800.0,32.91285300079794
2008-2013,49,Foreign-born,14428500,5968700.0,41.36743251204214
2008-2013,49,US-born,154224600,50351500.0,32.64816378191287
2008-2013,50,Foreign-born,2744800,1054300.0,38.41081317400175
2008-2013,50,US-born,51227800,17382100.0,33.9309905949504
2008-2013,51,Foreign-born,108206600,37713200.0,34.8529572133308
2008-2013,51,US-born,557411200,176664500.0,31.693747811310573
2008-2013,53,Foreign-born,72427000,24572700.0,33.927540834219286
2008-2013,53,US-born,414286600,144339500.0,34.840494478942844
2008-2013,54,Foreign-born,2793200,527300.0,18.877989402835457
2008-2013,54,US-born,81726300,26615700.0,32.56687259792747
2008-2013,55,Foreign-born,21023700,5867000.0,27.90660064593768
2008-2013,55,US-born,366498500,125676600.0,34.291163538186375
2008-2013,56,Foreign-born,1310600,461300.0,35.19761941095682
2008-2013,56,US-born,32426300,11627200.0,35.85731335366662
2014-2019,1,Foreign-born,14478200,4541300.0,31.366468207373842
2014-2019,1,US-born,259734600,89516100.0,34.464449480354176
2014-2019,2,Foreign-born,5633200,2876200.0,51.05801320741319
2014-2019,2,US-born,43236800,15917300.0,36.81424157199423
2014-2019,4,Foreign-born,59404800,19444600.0,32.732371794871796
2014-2019,4,US-born,355506800,125447800.0,35.28703248432941
2014-2019,5,Foreign-born,9117000,2828300.0,31.022266096303607
2014-2019,5,US-born,145608100,50107100.0,34.41230261228599
2014-2019,6,Foreign-born,889404100,300493400.0,33.785924755687546
2014-2019,6,US-born,2003184600,663063300.0,33.10045913891311
2014-2019,8,Foreign-born,46746000,17015700.0,36.40033371839302
2014-2019,8,US-born,482063800,169112600.0,35.080958163628964
2014-2019,9,Foreign-born,55824200,18020500.0,32.280802949258565
2014-2019,9,US-born,276037200,87171900.0,31.579765335976457
2014-2019,10,Foreign-born,9983400,2804400.0,28.090630446541258
2014-2019,10,US-born,60064700,19893300.0,33.11978583094563
2014-2019,11,Foreign-born,15803500,3598300.0,22.769006865567754
2014-2019,11,US-born,80246800,18176300.0,22.650498213012852
2014-2019,12,Foreign-born,350423000,156408600.0,44.63422777614483
2014-2019,12,US-born,929468400,343183100.0,36.92251398756537
2014-2019,13,Foreign-born,108673700,38837900.0,35.73808566378066
2014-2019,13,US-born,634316100,222468700.0,35.072213995514225
2014-2019,15,Foreign-born,20635300,10055300.0,48.7286349120197
2014-2019,15,US-born,85808100,34367600.0,40.0516967512391
2014-2019,16,Foreign-born,5289400,1751500.0,33.11339660452982
2014-2019,16,US-born,91916200,31279700.0,34.03067141592015
2014-2019,17,Foreign-born,178460300,61847300.0,34.65605515624483
2014-2019,17,US-born,898443100,313155500.0,34.85535144073119
2014-2019,18,Foreign-born,31199600,8629600.0,27.659328965755968
2014-2019,18,US-born,388091500,137855300.0,35.521339684069346
2014-2019,19,Foreign-born,14222800,4063300.0,28.568917512726046
2014-2019,19,US-born,207264500,70894800.0,34.20498927698665
2014-2019,20,Foreign-born,16165700,4747500.0,29.36773539036355
2014-2019,20,US-born,205200400,68616300.0,33.43867750745125
2014-2019,21,Foreign-born,16365200,5998500.0,36.653997506904894
2014-2019,21,US-born,239498400,85449900.0,35.67869346935094
2014-2019,22,Foreign-born,15089100,4944400.0,32.76802460053946
2014-2019,22,US-born,241870600,85115500.0,35.19051095916576
2014-2019,23,Foreign-born,4974600,1643100.0,33.029791340007236
2014-2019,23,US-born,95570800,32956500.0,34.48385908666664
2014-2019,24,Foreign-born,119225200,38493900.0,32.28671455363463
2014-2019,24,US-born,445683800,131857600.0,29.58545946700329
2014-2019,25,Foreign-born,127181000,38090000.0,29.949442133652038
2014-2019,25,US-born,586515000,188701600.0,32.17336300009377
2014-2019,26,Foreign-born,78200000,19282200.0,24.657544757033246
2014-2019,26,US-born,591426500,203922600.0,34.47978742920718
2014-2019,27,Foreign-born,47617900,15051700.0,31.609331784896018
2014-2019,27,US-born,447198500,152048900.0,34.00031529622751
2014-2019,28,Foreign-born,5345500,1615800.0,30.22729398559536
2014-2019,28,US-born,141267100,51082200.0,36.16001177910497
2014-2019,29,Foreign-born,30472300,8314100.0,27.284123613905088
2014-2019,29,US-born,397851000,137893100.0,34.65948307280867
2014-2019,30,Foreign-born,2482600,729400.0,29.380488197857087
2014-2019,30,US-born,70135500,25958300.0,37.01164175061132
2014-2019,31,Foreign-born,9128700,3912100.0,42.85495196468281
2014-2019,31,US-born,142763600,50220500.0,35.177384151142164
2014-2019,32,Foreign-born,35964200,19043400.0,52.95099015131714
2014-2019,32,US-born,120793300,46279200.0,38.31272098700838
2014-2019,33,Foreign-born,9728400,2942900.0,30.250606471773366
2014-2019,33,US-born,108559600,37729500.0,34.75464168991043
2014-2019,34,Foreign-born,245096000,81466800.0,33.238730946241475
2014-2019,34,US-born,605247200,203040800.0,33.546755771856525
2014-2019,35,Foreign-born,10529100,3146500.0,29.883845722806317
2014-2019,35,US-born,100046200,33377500.0,33.36208671593724
2014-2019,36,Foreign-born,442838700,168681000.0,38.09084436387335
2014-2019,36,US-born,1309797500,439459600.0,33.5517207812658
2014-2019,37,Foreign-born,73567600,22936200.0,31.177039892561396
2014-2019,37,US-born,658920600,233474400.0,35.432857919451905
2014-2019,38,Foreign-born,3063600,1134800.0,37.04138921530225
2014-2019,38,US-born,51992400,18054300.0,34.72488286749602
2014-2019,39,Foreign-born,63128100,17732600.0,28.08986806192488
2014-2019,39,US-born,728973300,241917000.0,33.18598911647381
