period,year_start,year_end,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,years_observed,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
1995-2007,2005,2007,Euro area aggregate,EA,EA,,1,poverty,Poverty risk rate,percentage points,3,20.7,,,,
1995-2007,2007,2007,European Union aggregate,EU,EU,,1,poverty,Poverty risk rate,percentage points,1,23.266666666666666,,,,
1995-2007,2004,2007,Finland,FI,FIN,FIN,0,poverty,Poverty risk rate,percentage points,4,16.791666666666668,,,,
1995-2007,2004,2007,France,FR,FRA,FRA,0,poverty,Poverty risk rate,percentage points,4,17.833333333333336,,,,
1995-2007,2005,2007,Germany,DE,DEU,DEU,0,poverty,Poverty risk rate,percentage points,3,20.333333333333332,,,,
1995-2007,2003,2007,Greece,EL,GRC,GRC,0,poverty,Poverty risk rate,percentage points,5,28.606666666666666,,,,
1995-2007,2005,2007,Hungary,HU,HUN,HUN,0,poverty,Poverty risk rate,percentage points,3,30.344444444444445,,,,
1995-2007,2004,2007,Iceland,IS,ISL,ISL,0,poverty,Poverty risk rate,percentage points,4,12.083333333333332,,,,
1995-2007,2003,2007,Ireland,IE,IRL,IRL,0,poverty,Poverty risk rate,percentage points,5,20.87333333333333,,,,
1995-2007,2004,2007,Italy,IT,ITA,ITA,0,poverty,Poverty risk rate,percentage points,4,24.791666666666664,,,,
1995-2007,2005,2007,Latvia,LV,LVA,LVA,0,poverty,Poverty risk rate,percentage points,3,37.47777777777778,,,,
1995-2007,2005,2007,Lithuania,LT,LTU,LTU,0,poverty,Poverty risk rate,percentage points,3,33.63333333333333,,,,
1995-2007,2003,2007,Luxembourg,LU,LUX,LUX,0,poverty,Poverty risk rate,percentage points,5,11.573333333333334,,,,
1995-2007,2005,2007,Malta,MT,MLT,MLT,0,poverty,Poverty risk rate,percentage points,3,18.144444444444446,,,,
1995-2007,2005,2007,Netherlands,NL,NLD,NLD,0,poverty,Poverty risk rate,percentage points,3,16.444444444444446,,,,
1995-2007,2003,2007,Norway,NO,NOR,NOR,0,poverty,Poverty risk rate,percentage points,5,14.733333333333334,,,,
1995-2007,2005,2007,Poland,PL,POL,POL,0,poverty,Poverty risk rate,percentage points,3,39.97777777777778,,,,
1995-2007,2004,2007,Portugal,PT,PRT,PRT,0,poverty,Poverty risk rate,percentage points,4,23.633333333333333,,,,
1995-2007,2007,2007,Romania,RO,ROU,ROU,0,poverty,Poverty risk rate,percentage points,1,43.76666666666667,,,,
1995-2007,2005,2007,Slovakia,SK,SVK,SVK,0,poverty,Poverty risk rate,percentage points,3,25.7,,,,
1995-2007,2005,2007,Slovenia,SI,SVN,SVN,0,poverty,Poverty risk rate,percentage points,3,17.42222222222222,,,,
1995-2007,2004,2007,Spain,ES,ESP,ESP,0,poverty,Poverty risk rate,percentage points,4,21.225,,,,
1995-2007,2004,2007,Sweden,SE,SWE,SWE,0,poverty,Poverty risk rate,percentage points,4,13.883333333333333,,,,
1995-2007,2007,2007,Switzerland,CH,CHE,CHE,0,poverty,Poverty risk rate,percentage points,1,13.933333333333332,,,,
1995-2007,2006,2007,Turkey,TR,TUR,TUR,0,poverty,Poverty risk rate,percentage points,2,63.03333333333333,,,,
1995-2007,2005,2007,United Kingdom,UK,GBR,GBR,0,poverty,Poverty risk rate,percentage points,3,20.57777777777778,,,,
1995-2007,1995,2007,Austria,AT,AUT,AUT,0,temporary_contract,Temporary contract rate,percentage points,13,9.653632478632478,11.78441391941392,11.842032967032967,2.1884004884004886,
1995-2007,1995,2007,Belgium,BE,BEL,BEL,0,temporary_contract,Temporary contract rate,percentage points,13,9.579059829059831,13.375137362637362,16.946437728937727,7.3673778998779,
1995-2007,2001,2007,Bulgaria,BG,BGR,BGR,0,temporary_contract,Temporary contract rate,percentage points,7,7.382857142857142,,,,
1995-2007,2006,2007,Croatia,HR,HRV,HRV,0,temporary_contract,Temporary contract rate,percentage points,2,15.355,,74.3,58.97,
1995-2007,1999,2007,Cyprus,CY,CYP,CYP,0,temporary_contract,Temporary contract rate,percentage points,9,7.733333333333334,24.537037037037035,58.52638888888888,50.793055555555554,
1995-2007,1997,2007,Czechia,CZ,CZE,CZE,0,temporary_contract,Temporary contract rate,percentage points,11,10.682727272727275,18.382892857142856,29.808367346938773,19.238367346938777,
1995-2007,1995,2007,Denmark,DK,DNK,DNK,0,temporary_contract,Temporary contract rate,percentage points,13,10.864615384615385,19.570999999999998,20.911577380952384,10.187410714285715,
1995-2007,1998,2007,Estonia,EE,EST,EST,0,temporary_contract,Temporary contract rate,percentage points,10,2.6753928571428576,,1.7125000000000001,-0.4708333333333333,
1995-2007,1995,2007,Finland,FI,FIN,FIN,0,temporary_contract,Temporary contract rate,percentage points,13,19.563076923076924,26.993333333333332,36.47730769230769,16.91423076923077,
1995-2007,1995,2007,France,FR,FRA,FRA,0,temporary_contract,Temporary contract rate,percentage points,13,16.767692307692307,14.357499999999998,25.686730769230767,8.919038461538461,
1995-2007,1995,2007,Germany,DE,DEU,DEU,0,temporary_contract,Temporary contract rate,percentage points,13,15.624615384615385,16.227884615384614,19.852692307692305,4.228076923076923,
1995-2007,1995,2007,Greece,EL,GRC,GRC,0,temporary_contract,Temporary contract rate,percentage points,13,12.625384615384617,23.73754578754579,24.509999999999998,11.884615384615383,
1995-2007,2001,2007,Hungary,HU,HUN,HUN,0,temporary_contract,Temporary contract rate,percentage points,7,8.081428571428571,18.116666666666667,,,
1995-2007,1995,2007,Iceland,IS,ISL,ISL,0,temporary_contract,Temporary contract rate,percentage points,12,7.956279761904763,,,,
1995-2007,1998,2007,Ireland,IE,IRL,IRL,0,temporary_contract,Temporary contract rate,percentage points,9,5.6913888888888895,11.25,9.416428571428572,3.553214285714286,
1995-2007,2005,2007,Italy,IT,ITA,ITA,0,temporary_contract,Temporary contract rate,percentage points,3,15.69,17.525833333333335,16.43,0.739999999999999,
1995-2007,2004,2007,Latvia,LV,LVA,LVA,0,temporary_contract,Temporary contract rate,percentage points,4,8.125625,,,,
1995-2007,1998,2007,Lithuania,LT,LTU,LTU,0,temporary_contract,Temporary contract rate,percentage points,10,6.685305555555556,,,,
1995-2007,1996,2007,Luxembourg,LU,LUX,LUX,0,temporary_contract,Temporary contract rate,percentage points,12,6.890922619047618,6.045932539682539,8.331666666666667,0.18916666666666657,
1995-2007,2005,2007,Malta,MT,MLT,MLT,0,temporary_contract,Temporary contract rate,percentage points,3,4.762962962962963,,,,
1995-2007,1999,2007,Netherlands,NL,NLD,NLD,0,temporary_contract,Temporary contract rate,percentage points,9,15.529999999999998,23.23333333333333,35.08009259259259,19.55009259259259,
1995-2007,2006,2007,North Macedonia,MK,MKD,MKD,0,temporary_contract,Temporary contract rate,percentage points,2,14.2,,,,
1995-2007,1995,2007,Norway,NO,NOR,NOR,0,temporary_contract,Temporary contract rate,percentage points,13,11.976153846153846,13.30712454212454,20.55826923076923,8.582115384615385,
1995-2007,2004,2007,Poland,PL,POL,POL,0,temporary_contract,Temporary contract rate,percentage points,4,29.445,,56.10833333333333,26.618333333333336,
1995-2007,1999,2007,Portugal,PT,PRT,PRT,0,temporary_contract,Temporary contract rate,percentage points,9,21.26111111111111,46.092666666666666,53.533994708994705,32.27288359788359,
1995-2007,2004,2007,Romania,RO,ROU,ROU,0,temporary_contract,Temporary contract rate,percentage points,4,2.7145833333333336,,,,
1995-2007,2003,2007,Slovakia,SK,SVK,SVK,0,temporary_contract,Temporary contract rate,percentage points,5,6.694,,,,
1995-2007,2002,2007,Slovenia,SI,SVN,SVN,0,temporary_contract,Temporary contract rate,percentage points,6,21.42833333333333,,39.43888888888889,16.802222222222223,
1995-2007,1995,2007,Spain,ES,ESP,ESP,0,temporary_contract,Temporary contract rate,percentage points,13,32.97076923076923,50.54271062271062,57.43192307692308,24.46115384615384,
1995-2007,1997,2007,Sweden,SE,SWE,SWE,0,temporary_contract,Temporary contract rate,percentage points,11,18.172727272727276,20.641726190476188,32.16477272727273,13.992045454545456,
1995-2007,1996,2007,Switzerland,CH,CHE,CHE,0,temporary_contract,Temporary contract rate,percentage points,12,13.799166666666666,14.55904761904762,19.085416666666667,5.28625,
1995-2007,1995,2007,United Kingdom,UK,GBR,GBR,0,temporary_contract,Temporary contract rate,percentage points,13,6.613846153846154,14.004487179487178,16.535943223443226,9.92209706959707,
2008-2013,2008,2013,Austria,AT,AUT,AUT,0,brain_waste,Highly educated employment rate,percentage points,6,78.0537037037037,78.14479166666666,62.99555555555556,-15.058148148148149,
2008-2013,2008,2013,Belgium,BE,BEL,BEL,0,brain_waste,Highly educated employment rate,percentage points,6,73.66296296296296,74.50882352941177,58.18694444444444,-15.47601851851852,
2008-2013,2008,2013,Bulgaria,BG,BGR,BGR,0,brain_waste,Highly educated employment rate,percentage points,6,74.60833333333333,,,,
2008-2013,2008,2013,Croatia,HR,HRV,HRV,0,brain_waste,Highly educated employment rate,percentage points,6,69.95185185185186,75.84285714285714,86.05,15.688888888888883,
2008-2013,2008,2013,Cyprus,CY,CYP,CYP,0,brain_waste,Highly educated employment rate,percentage points,6,78.03055555555555,73.57064950980393,60.21587009803921,-17.814685457516337,
2008-2013,2008,2013,Czechia,CZ,CZE,CZE,0,brain_waste,Highly educated employment rate,percentage points,6,75.5537037037037,84.53289624183006,79.16333333333334,3.6096296296296324,
2008-2013,2008,2013,Denmark,DK,DNK,DNK,0,brain_waste,Highly educated employment rate,percentage points,6,78.55555555555556,79.28055555555557,69.2318253968254,-9.323730158730157,
2008-2013,2008,2013,Estonia,EE,EST,EST,0,brain_waste,Highly educated employment rate,percentage points,6,77.9537037037037,70.49375,70.44601715686274,-7.507686546840952,
2008-2013,2008,2013,Finland,FI,FIN,FIN,0,brain_waste,Highly educated employment rate,percentage points,6,77.64444444444443,79.2144696969697,57.67777777777778,-19.966666666666658,
2008-2013,2008,2013,France,FR,FRA,FRA,0,brain_waste,Highly educated employment rate,percentage points,6,73.40462962962964,71.21027369281045,58.4597903050109,-14.944839324618735,
