YEAR,period,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
2024,2020-2024,Czechia,CZ,CZE,CZE,0,incarceration,Foreign prison-population representation,%,91.78075554932235,,8.219244450677648,-83.5615110986447,0.08955302668281788
2024,2020-2024,Denmark,DK,DNK,DNK,0,incarceration,Foreign prison-population representation,%,74.68196086761547,,25.318039132384527,-49.363921735230946,0.33901144049048737
2024,2020-2024,Estonia,EE,EST,EST,0,incarceration,Foreign prison-population representation,%,66.58523529679742,,33.414764703202586,-33.170470593594835,0.5018344465444843
2024,2020-2024,Finland,FI,FIN,FIN,0,incarceration,Foreign prison-population representation,%,76.68648866939797,,23.313511330602026,-53.37297733879595,0.30401067691478967
2024,2020-2024,France,FR,FRA,FRA,0,incarceration,Foreign prison-population representation,%,75.32137497776546,,24.67862502223454,-50.64274995553092,0.32764437756904413
2024,2020-2024,Greece,EL,GRC,GRC,0,incarceration,Foreign prison-population representation,%,47.9884740242939,,52.0115259757061,4.023051951412199,1.0838337128489552
2024,2020-2024,Hungary,HU,HUN,HUN,0,incarceration,Foreign prison-population representation,%,95.89470558471407,,4.1052944152859245,-91.78941116942815,0.04281043870205408
2024,2020-2024,Iceland,IS,ISL,ISL,0,incarceration,Foreign prison-population representation,%,61.0288113845795,,38.9711886154205,-22.057622769158996,0.6385703363914372
2024,2020-2024,Ireland,IE,IRL,IRL,0,incarceration,Foreign prison-population representation,%,83.46020177545532,,16.539798224544686,-66.92040355091063,0.19817587152549693
2024,2020-2024,Italy,IT,ITA,ITA,0,incarceration,Foreign prison-population representation,%,67.96014629181798,,32.039853708182015,-35.92029258363596,0.47145062888187805
2020,2020-2024,Kosovo,XK,XKX,XKX,0,incarceration,Foreign prison-population representation,%,92.69363032699599,,7.30636967300401,-85.38726065399197,0.07882278045675065
2024,2020-2024,Latvia,LV,LVA,LVA,0,incarceration,Foreign prison-population representation,%,92.98132506948245,,5.163913554629724,-87.81741151485272,0.0555371043676875
2024,2020-2024,Liechtenstein,LI,LIE,LIE,0,incarceration,Foreign prison-population representation,%,24.67431243736777,,75.32568756263221,50.65137512526444,3.0527978339350184
2024,2020-2024,Lithuania,LT,LTU,LTU,0,incarceration,Foreign prison-population representation,%,96.31691131419302,,3.6830886858069922,-92.63382262838603,0.038239273202942306
2024,2020-2024,Luxembourg,LU,LUX,LUX,0,incarceration,Foreign prison-population representation,%,24.20403354355811,,75.79596645644189,51.59193291288378,3.1315427786049708
2024,2020-2024,Malta,MT,MLT,MLT,0,incarceration,Foreign prison-population representation,%,47.63250883392226,,52.36749116607773,4.734982332155468,1.0994065281899108
2024,2020-2024,Montenegro,ME,MNE,MNE,0,incarceration,Foreign prison-population representation,%,82.95536773857421,,17.0446322614258,-65.9107354771484,0.2054675029003585
2024,2020-2024,Netherlands,NL,NLD,NLD,0,incarceration,Foreign prison-population representation,%,78.46501628436758,,21.53498371563241,-56.93003256873517,0.27445331353257846
2024,2020-2024,North Macedonia,MK,MKD,MKD,0,incarceration,Foreign prison-population representation,%,94.28821640556582,,5.086918446002259,-89.20129795956356,0.05395073361152242
2024,2020-2024,Norway,NO,NOR,NOR,0,incarceration,Foreign prison-population representation,%,72.43238817143927,,27.38922421860378,-45.04316395283549,0.3781350430387106
2024,2020-2024,Poland,PL,POL,POL,0,incarceration,Foreign prison-population representation,%,96.33500445597805,,3.66499554402195,-92.6700089119561,0.03804427647788955
2024,2020-2024,Portugal,PT,PRT,PRT,0,incarceration,Foreign prison-population representation,%,82.68167974304036,,17.31832025695966,-65.3633594860807,0.20945776997736198
2024,2020-2024,Romania,RO,ROU,ROU,0,incarceration,Foreign prison-population representation,%,98.8904813210404,,1.1094782504987861,-97.78100307054162,0.011219262316025642
2024,2020-2024,Serbia,RS,SRB,SRB,0,incarceration,Foreign prison-population representation,%,95.49428813975636,,4.505711860243642,-90.98857627951273,0.04718305092394124
2024,2020-2024,Slovakia,SK,SVK,SVK,0,incarceration,Foreign prison-population representation,%,95.39724914328711,,4.602750856712891,-90.79449828657422,0.04824825556342341
2024,2020-2024,Slovenia,SI,SVN,SVN,0,incarceration,Foreign prison-population representation,%,51.82731104213049,,48.172688957869525,-3.6546220842609642,0.9294846286489741
2024,2020-2024,Spain,ES,ESP,ESP,0,incarceration,Foreign prison-population representation,%,67.3471186215633,,32.652898228258124,-34.69422039330517,0.4848447698518653
2024,2020-2024,Sweden,SE,SWE,SWE,0,incarceration,Foreign prison-population representation,%,78.66486560836857,,21.335134391631428,-57.329731216737144,0.2712155449149046
2024,2020-2024,Switzerland,CH,CHE,CHE,0,incarceration,Foreign prison-population representation,%,28.57775489186406,,71.42224510813594,42.84449021627188,2.499225197304407
2024,2020-2024,Turkey,TR,TUR,TUR,0,incarceration,Foreign prison-population representation,%,96.07833019709857,,3.9216698029014423,-92.15666039419712,0.040817422564030696
2014,2014-2019,Austria,AT,AUT,AUT,0,poverty,Poverty risk rate,percentage points,14.933333333333332,39.4,44.36666666666667,29.433333333333337,
2014,2014-2019,Belgium,BE,BEL,BEL,0,poverty,Poverty risk rate,percentage points,18.099999999999998,29.766666666666666,68.83333333333333,50.733333333333334,
2014,2014-2019,Bulgaria,BG,BGR,BGR,0,poverty,Poverty risk rate,percentage points,36.86666666666667,,38.5,1.6333333333333329,
2014,2014-2019,Croatia,HR,HRV,HRV,0,poverty,Poverty risk rate,percentage points,29.133333333333336,,46.46666666666667,17.333333333333332,
2014,2014-2019,Cyprus,CY,CYP,CYP,0,poverty,Poverty risk rate,percentage points,25.933333333333334,37.13333333333333,40.833333333333336,14.900000000000002,
2014,2014-2019,Czechia,CZ,CZE,CZE,0,poverty,Poverty risk rate,percentage points,14.166666666666666,26.933333333333334,17.066666666666666,2.9000000000000004,
2014,2014-2019,Denmark,DK,DNK,DNK,0,poverty,Poverty risk rate,percentage points,19.733333333333334,29.8,42.13333333333333,22.4,
2014,2014-2019,Estonia,EE,EST,EST,0,poverty,Poverty risk rate,percentage points,22.233333333333334,17.5,39.4,17.166666666666664,
2014,2014-2019,Euro area aggregate,EA,EA,,1,poverty,Poverty risk rate,percentage points,22.833333333333332,34.13333333333333,51.76666666666667,28.93333333333334,
2014,2014-2019,European Union aggregate,EU,EU,,1,poverty,Poverty risk rate,percentage points,23.7,30.266666666666666,48.666666666666664,24.966666666666665,
2014,2014-2019,Finland,FI,FIN,FIN,0,poverty,Poverty risk rate,percentage points,17.266666666666666,23.066666666666666,45.833333333333336,28.56666666666667,
2014,2014-2019,France,FR,FRA,FRA,0,poverty,Poverty risk rate,percentage points,17.733333333333334,26.3,51.03333333333333,33.3,
2014,2014-2019,Germany,DE,DEU,DEU,0,poverty,Poverty risk rate,percentage points,21.266666666666666,23.5,34.300000000000004,13.033333333333339,
2014,2014-2019,Greece,EL,GRC,GRC,0,poverty,Poverty risk rate,percentage points,36.13333333333333,51.5,70.63333333333334,34.50000000000001,
2013,2008-2013,Hungary,HU,HUN,HUN,0,poverty,Poverty risk rate,percentage points,34.9,36.333333333333336,29.9,-5.0,
2014,2014-2019,Iceland,IS,ISL,ISL,0,poverty,Poverty risk rate,percentage points,10.833333333333334,11.700000000000001,11.033333333333333,0.1999999999999993,
2014,2014-2019,Ireland,IE,IRL,IRL,0,poverty,Poverty risk rate,percentage points,28.2,22.566666666666666,47.76666666666667,19.566666666666674,
2014,2014-2019,Italy,IT,ITA,ITA,0,poverty,Poverty risk rate,percentage points,27.166666666666668,41.833333333333336,50.93333333333334,23.76666666666667,
2014,2014-2019,Latvia,LV,LVA,LVA,0,poverty,Poverty risk rate,percentage points,29.066666666666666,13.5,39.6,10.533333333333335,
2014,2014-2019,Lithuania,LT,LTU,LTU,0,poverty,Poverty risk rate,percentage points,25.933333333333334,,38.43333333333333,12.499999999999996,
2014,2014-2019,Luxembourg,LU,LUX,LUX,0,poverty,Poverty risk rate,percentage points,13.233333333333334,22.866666666666664,35.766666666666666,22.53333333333333,
2014,2014-2019,Malta,MT,MLT,MLT,0,poverty,Poverty risk rate,percentage points,21.633333333333336,18.333333333333332,30.53333333333333,8.899999999999995,
2014,2014-2019,Netherlands,NL,NLD,NLD,0,poverty,Poverty risk rate,percentage points,17.533333333333335,19.599999999999998,39.800000000000004,22.26666666666667,
2014,2014-2019,North Macedonia,MK,MKD,MKD,0,poverty,Poverty risk rate,percentage points,42.666666666666664,,56.86666666666667,14.200000000000003,
2014,2014-2019,Norway,NO,NOR,NOR,0,poverty,Poverty risk rate,percentage points,13.866666666666667,16.233333333333334,28.46666666666667,14.600000000000001,
2014,2014-2019,Poland,PL,POL,POL,0,poverty,Poverty risk rate,percentage points,24.433333333333334,,10.733333333333334,-13.7,
2014,2014-2019,Portugal,PT,PRT,PRT,0,poverty,Poverty risk rate,percentage points,27.266666666666666,28.8,50.699999999999996,23.43333333333333,
2014,2014-2019,Serbia,RS,SRB,SRB,0,poverty,Poverty risk rate,percentage points,43.43333333333334,64.06666666666666,46.800000000000004,3.366666666666667,
2014,2014-2019,Slovenia,SI,SVN,SVN,0,poverty,Poverty risk rate,percentage points,20.1,35.5,52.53333333333333,32.43333333333333,
2014,2014-2019,Spain,ES,ESP,ESP,0,poverty,Poverty risk rate,percentage points,27.833333333333332,48.6,60.4,32.56666666666666,
