period,STATEFIP,weighted_denominator,weighted_numerator,limited_english_rate_pct
2020-2024,5,78027000,36464500.0,46.733182103630796
2020-2024,6,5240340700,2723717200.0,51.97595644878585
2020-2024,8,281971900,117571700.0,41.69624703738209
2020-2024,9,279291300,106930400.0,38.286334017565174
2020-2024,10,51386100,18963800.0,36.904532548685346
2020-2024,11,47554900,14463000.0,30.413269715633927
2020-2024,12,2409917700,1098511200.0,45.58293422219356
2020-2024,13,591908400,238652900.0,40.31922844818556
2020-2024,15,125518800,61217300.0,48.771419102158404
2020-2024,16,56786800,26444900.0,46.56874484915509
2020-2024,17,910327100,429826100.0,47.21666530634977
2020-2024,18,206042100,88514500.0,42.95942431182753
2020-2024,19,90999600,43834300.0,48.16977217482275
2020-2024,20,104894500,50531700.0,48.17383180243006
2020-2024,21,94942700,45791400.0,48.23056432985369
2020-2024,22,101919600,50553000.0,49.60086185581576
2020-2024,23,27660600,6878300.0,24.866778016384316
2020-2024,24,500341200,192622600.0,38.49824879502228
2020-2024,25,622837200,268076200.0,43.041134986799115
2020-2024,26,356375400,137019000.0,38.44794000932724
2020-2024,27,240349200,96025800.0,39.95261893944311
2020-2024,28,33777600,15507000.0,45.90912320591161
2020-2024,29,132715200,49511300.0,37.306427598345934
2020-2024,30,11898900,2105900.0,17.698274630428024
2020-2024,31,76308700,39123300.0,51.26977657855526
2020-2024,32,302008900,145112700.0,48.04914689600207
2020-2024,33,42918200,11671300.0,27.194290534085773
2020-2024,34,1086697500,474412100.0,43.656316500222005
2020-2024,35,98181100,48603100.0,49.50351951648535
2020-2024,36,2223138300,1005119800.0,45.211753132947244
2020-2024,37,464702400,201883100.0,43.44352428565034
2020-2024,38,17115500,5129200.0,29.968157518039206
2020-2024,39,293462000,107942700.0,36.78251357927091
2020-2024,40,121180300,60181600.0,49.66285774172865
2020-2024,41,205491800,88835400.0,43.23063012733355
2020-2024,42,490026500,208319300.0,42.51184374722591
2020-2024,44,80763800,37509000.0,46.44283701361254
2020-2024,45,146491900,57514500.0,39.26121512520487
2020-2024,46,16787200,6004600.0,35.76891917651544
2020-2024,47,195619800,89490900.0,45.74736299699724
2020-2024,48,2598507100,1347834200.0,51.869560025446916
2020-2024,49,144890200,62406900.0,43.07185717184461
2020-2024,50,14503900,3237300.0,22.32020353146395
2020-2024,51,549466500,209891200.0,38.199089480432384
2020-2024,53,591368900,243644100.0,41.20001914202793
2020-2024,54,15950400,3862200.0,24.2138128197412
2020-2024,55,152260300,61729700.0,40.54221619161397
2020-2024,56,9796800,3710300.0,37.872570635309486
