YEAR,STATEFIP,weighted_denominator,weighted_numerator,limited_english_rate_pct
2010,22,16515000,8329600.0,50.43657281259462
2010,23,4754200,1288600.0,27.10445500820327
2010,24,79770100,30145400.0,37.790350018365274
2010,25,96912500,43480800.0,44.86603895266349
2010,26,57511100,23283500.0,40.485228069016244
2010,27,37344800,16093700.0,43.09488871275251
2010,28,6181200,3028300.0,48.992105092862225
2010,29,23137000,10829700.0,46.8068461771189
2010,30,1916400,294300.0,15.356919223544146
2010,31,10850400,5743700.0,52.935375654353756
2010,32,50611900,26465200.0,52.29046923747182
2010,33,6966000,2042100.0,29.31524547803618
2010,34,183345100,87505900.0,47.727427676005526
2010,35,20692100,11186100.0,54.059761938130976
2010,36,427429400,201611000.0,47.16825749468801
2010,37,71206900,35100500.0,49.29367800030615
2010,38,1648800,460400.0,27.923338185346918
2010,39,46416200,17232300.0,37.125615625579
2010,40,20868600,10837400.0,51.93161017030371
2010,41,37267200,18486300.0,49.60474626481196
2010,42,72288400,31290200.0,43.285229718737725
2010,44,12984100,7073700.0,54.47970979890789
2010,45,21186900,10559900.0,49.84164743308365
2010,46,2053000,843000.0,41.061860691670724
2010,47,28700200,14513100.0,50.567940293099
2010,48,411266700,248022000.0,60.30685197707473
2010,49,22657500,11640800.0,51.3772481518261
2010,50,2762700,826100.0,29.90190755420422
2010,51,89749700,36454100.0,40.61751738445922
2010,53,88599200,41899200.0,47.29072045797253
2010,54,2221300,675900.0,30.42812767298429
2010,55,24851600,11372400.0,45.76123871300037
2010,56,1578000,434600.0,27.541191381495565
2011,1,16014800,7993600.0,49.91382970752055
2011,2,4438600,2082200.0,46.91118821249944
2011,4,86357500,42117900.0,48.771560084532325
2011,5,12433200,6679700.0,53.72470482257182
2011,6,1017531900,584775800.0,57.47002133299212
2011,8,49221300,24724500.0,50.231302302052164
2011,9,47462100,19617000.0,41.331925894555866
2011,10,7781200,2893900.0,37.19092170873387
2011,11,8245700,2168600.0,26.299768364117053
2011,12,368566900,178074500.0,48.31538046417082
2011,13,93909700,44664700.0,47.56132753059588
2011,15,24673500,12565900.0,50.92872920339636
2011,16,9171800,4798000.0,52.312523168843626
2011,17,178341100,96199200.0,53.94112742379631
2011,18,29578400,14712500.0,49.740689151543016
2011,19,13047500,6551700.0,50.2142172830044
2011,20,19256700,10478800.0,54.41638494653809
2011,21,14061700,6258400.0,44.506709715041566
2011,22,17235500,8797800.0,51.04464622436251
2011,23,4418700,1223400.0,27.68687623056555
2011,24,79318500,29323600.0,36.96943336043924
2011,25,97996700,44180400.0,45.08355893616826
2011,26,60141700,23378000.0,38.871531732558275
2011,27,39165100,16776500.0,42.835330434493976
2011,28,6809400,3702000.0,54.366023438188385
2011,29,24827400,11016600.0,44.372749462287636
2011,30,1995300,324900.0,16.283265674334686
2011,31,11272300,6244000.0,55.392422132129205
2011,32,52122400,27319300.0,52.4137415007751
2011,33,6945600,2113000.0,30.42213775627736
2011,34,186477500,89846100.0,48.18066522770844
2011,35,21084700,12232200.0,58.014579292093316
2011,36,430125300,199195500.0,46.311040062047034
2011,37,70273000,34720300.0,49.40773839170094
2011,38,1620800,624400.0,38.524185587364265
2011,39,44866400,16795500.0,37.4344721216768
2011,40,20588400,10786600.0,52.39163800975306
2011,41,36648700,18865900.0,51.47767860797246
2011,42,74854500,31294700.0,41.80737297022891
2011,44,14126400,6738100.0,47.69863517952203
2011,45,22090100,9961900.0,45.096672264951266
2011,46,2327500,1407500.0,60.472610096670245
2011,47,30104100,14716500.0,48.885367773824825
2011,48,419906000,251450100.0,59.882473696493975
2011,49,23378100,11254900.0,48.14292008332585
2011,50,2397900,636600.0,26.54822970098836
2011,51,89290300,36569300.0,40.955512524876724
2011,53,91292400,42214800.0,46.241308148323405
2011,54,2304700,638600.0,27.70859547880418
2011,55,27283200,11896600.0,43.60412268355618
2011,56,1624000,663000.0,40.82512315270936
2012,1,16000700,7153500.0,44.70741905041655
2012,2,5047900,1868700.0,37.019354583093964
2012,4,88514800,44232600.0,49.971982086611504
2012,5,12653200,6473100.0,51.15780988208516
2012,6,1024865500,581741600.0,56.76272642605298
2012,8,50598600,24193800.0,47.81515694110114
2012,9,48282500,19695200.0,40.79159115621602
2012,10,7886400,2918300.0,37.00420977885981
2012,11,8826400,3047200.0,34.52370162240551
2012,12,374492700,176316200.0,47.081344976817974
2012,13,93449800,42792800.0,45.79228633983165
2012,15,24546300,13232100.0,53.906698769264615
2012,16,9321000,4659300.0,49.98712584486643
2012,17,177334400,93616400.0,52.790885468358084
2012,18,29960000,14135000.0,47.17957276368491
2012,19,13032300,5749000.0,44.11347191209533
2012,20,18575500,9775200.0,52.624155473607715
2012,21,13104800,5679600.0,43.33984494231121
2012,22,16403100,7666900.0,46.74055513896763
2012,23,4360200,1198800.0,27.49415164441998
2012,24,82321700,30757300.0,37.36232366435581
2012,25,99608600,43900600.0,44.07310212170435
2012,26,59397900,23799100.0,40.06724143446149
2012,27,39890600,17541700.0,43.97452031305621
2012,28,5547600,2384400.0,42.98074843175427
2012,29,22496400,9231500.0,41.03545456161875
2012,30,1782300,324600.0,18.212422151153003
2012,31,12027800,7368300.0,61.26057965712766
2012,32,52544200,26819800.0,51.04236052694684
2012,33,7203900,2227500.0,30.92075125973431
2012,34,186225000,85931600.0,46.14396563297087
2012,35,19232800,10207400.0,53.07287550434674
2012,36,442745100,205339700.0,46.37876285926146
2012,37,74845000,36921600.0,49.33075021711537
2012,38,1958000,552600.0,28.22267620020429
2012,39,43312200,16232400.0,37.47766218294153
2012,40,20988400,11467400.0,54.636847020258806
2012,41,36874400,17710800.0,48.03006964181112
2012,42,75817000,31437800.0,41.465370563330126
2012,44,14040200,6794800.0,48.395322003960054
2012,45,21896400,9875100.0,45.0991943881186
