period,country,country_key,iso3,is_aggregate,sex,age,comparison_group,comparison_label,reporting_country_rate_pct,comparison_rate_pct,employment_rate_gap_pp
2014-2019,Estonia,EST,EST,0,Total,From 15 to 29 years,eu27_total,EU27 citizens,54.18333333333334,54.166666666666664,-0.016666666666672825
2014-2019,Estonia,EST,EST,0,Total,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,54.18333333333334,59.349999999999994,5.166666666666657
2014-2019,Estonia,EST,EST,0,Total,From 15 to 29 years,foreign_country,Foreign-country citizens,54.18333333333334,59.083333333333336,4.899999999999999
2014-2019,Estonia,EST,EST,0,Total,From 15 to 29 years,non_eu,Non-EU27 citizens,54.18333333333334,59.949999999999996,5.766666666666659
2014-2019,Estonia,EST,EST,0,Total,From 15 to 39 years,eu27_total,EU27 citizens,66.55,66.48333333333333,-0.06666666666666288
2014-2019,Estonia,EST,EST,0,Total,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,66.55,67.08,0.5300000000000011
2014-2019,Estonia,EST,EST,0,Total,From 15 to 39 years,foreign_country,Foreign-country citizens,66.55,68.23333333333333,1.6833333333333371
2014-2019,Estonia,EST,EST,0,Total,From 15 to 39 years,non_eu,Non-EU27 citizens,66.55,68.81666666666666,2.2666666666666657
2014-2019,Estonia,EST,EST,0,Total,From 15 to 59 years,eu27_total,EU27 citizens,74.48333333333333,74.46666666666667,-0.01666666666666572
2014-2019,Estonia,EST,EST,0,Total,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,74.48333333333333,70.74999999999999,-3.7333333333333485
2014-2019,Estonia,EST,EST,0,Total,From 15 to 59 years,foreign_country,Foreign-country citizens,74.48333333333333,72.93333333333334,-1.5499999999999972
2014-2019,Estonia,EST,EST,0,Total,From 15 to 59 years,non_eu,Non-EU27 citizens,74.48333333333333,73.14999999999999,-1.3333333333333428
2014-2019,Estonia,EST,EST,0,Total,From 15 to 64 years,eu27_total,EU27 citizens,73.16666666666666,73.14999999999999,-0.01666666666666572
2014-2019,Estonia,EST,EST,0,Total,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,73.16666666666666,70.68333333333334,-2.48333333333332
2014-2019,Estonia,EST,EST,0,Total,From 15 to 64 years,foreign_country,Foreign-country citizens,73.16666666666666,69.26666666666667,-3.8999999999999915
2014-2019,Estonia,EST,EST,0,Total,From 15 to 64 years,non_eu,Non-EU27 citizens,73.16666666666666,69.25,-3.916666666666657
2020-2024,Estonia,EST,EST,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,36.519999999999996,36.540000000000006,0.020000000000010232
2020-2024,Estonia,EST,EST,0,Females,From 15 to 24 years,foreign_country,Foreign-country citizens,36.519999999999996,46.366666666666674,9.846666666666678
2020-2024,Estonia,EST,EST,0,Females,From 15 to 24 years,non_eu,Non-EU27 citizens,36.519999999999996,46.63333333333333,10.113333333333337
2020-2024,Estonia,EST,EST,0,Females,From 15 to 29 years,eu27_total,EU27 citizens,51.56,51.6,0.03999999999999915
2020-2024,Estonia,EST,EST,0,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,51.56,52.04,0.4799999999999969
2020-2024,Estonia,EST,EST,0,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,51.56,52.08,0.519999999999996
2020-2024,Estonia,EST,EST,0,Females,From 15 to 39 years,eu27_total,EU27 citizens,65.14000000000001,65.2,0.05999999999998806
2020-2024,Estonia,EST,EST,0,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,65.14000000000001,62.8,-2.3400000000000176
2020-2024,Estonia,EST,EST,0,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,65.14000000000001,57.28000000000001,-7.8600000000000065
2020-2024,Estonia,EST,EST,0,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,65.14000000000001,56.620000000000005,-8.52000000000001
2020-2024,Estonia,EST,EST,0,Females,From 15 to 59 years,eu27_total,EU27 citizens,75.58000000000001,75.52,-0.060000000000016485
2020-2024,Estonia,EST,EST,0,Females,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,75.58000000000001,72.92500000000001,-2.655000000000001
2020-2024,Estonia,EST,EST,0,Females,From 15 to 59 years,foreign_country,Foreign-country citizens,75.58000000000001,67.84,-7.740000000000009
2020-2024,Estonia,EST,EST,0,Females,From 15 to 59 years,non_eu,Non-EU27 citizens,75.58000000000001,67.7,-7.88000000000001
2020-2024,Estonia,EST,EST,0,Females,From 15 to 64 years,eu27_total,EU27 citizens,75.02000000000001,74.96000000000001,-0.060000000000002274
2020-2024,Estonia,EST,EST,0,Females,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,75.02000000000001,71.775,-3.2450000000000045
2020-2024,Estonia,EST,EST,0,Females,From 15 to 64 years,foreign_country,Foreign-country citizens,75.02000000000001,65.9,-9.120000000000005
2020-2024,Estonia,EST,EST,0,Females,From 15 to 64 years,non_eu,Non-EU27 citizens,75.02000000000001,65.76,-9.260000000000005
2020-2024,Estonia,EST,EST,0,Males,From 15 to 24 years,eu27_total,EU27 citizens,33.86,33.839999999999996,-0.020000000000003126
2020-2024,Estonia,EST,EST,0,Males,From 15 to 24 years,foreign_country,Foreign-country citizens,33.86,32.85,-1.009999999999998
2020-2024,Estonia,EST,EST,0,Males,From 15 to 24 years,non_eu,Non-EU27 citizens,33.86,32.9,-0.9600000000000009
2020-2024,Estonia,EST,EST,0,Males,From 15 to 29 years,eu27_total,EU27 citizens,53.36,53.339999999999996,-0.020000000000003126
2020-2024,Estonia,EST,EST,0,Males,From 15 to 29 years,foreign_country,Foreign-country citizens,53.36,53.61999999999999,0.2599999999999909
2020-2024,Estonia,EST,EST,0,Males,From 15 to 29 years,non_eu,Non-EU27 citizens,53.36,54.1,0.740000000000002
2020-2024,Estonia,EST,EST,0,Males,From 15 to 39 years,eu27_total,EU27 citizens,70.94000000000001,71.0,0.05999999999998806
2020-2024,Estonia,EST,EST,0,Males,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,70.94000000000001,86.45,15.509999999999991
2020-2024,Estonia,EST,EST,0,Males,From 15 to 39 years,foreign_country,Foreign-country citizens,70.94000000000001,76.41999999999999,5.479999999999976
2020-2024,Estonia,EST,EST,0,Males,From 15 to 39 years,non_eu,Non-EU27 citizens,70.94000000000001,76.38000000000001,5.439999999999998
2020-2024,Estonia,EST,EST,0,Males,From 15 to 59 years,eu27_total,EU27 citizens,77.24,77.28,0.04000000000000625
2020-2024,Estonia,EST,EST,0,Males,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,77.24,81.48,4.240000000000009
2020-2024,Estonia,EST,EST,0,Males,From 15 to 59 years,foreign_country,Foreign-country citizens,77.24,80.26,3.0200000000000102
2020-2024,Estonia,EST,EST,0,Males,From 15 to 59 years,non_eu,Non-EU27 citizens,77.24,80.22,2.980000000000004
2020-2024,Estonia,EST,EST,0,Males,From 15 to 64 years,eu27_total,EU27 citizens,76.22,76.28,0.060000000000002274
2020-2024,Estonia,EST,EST,0,Males,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,76.22,81.18,4.960000000000008
2020-2024,Estonia,EST,EST,0,Males,From 15 to 64 years,foreign_country,Foreign-country citizens,76.22,77.5,1.2800000000000011
2020-2024,Estonia,EST,EST,0,Males,From 15 to 64 years,non_eu,Non-EU27 citizens,76.22,77.3,1.0799999999999983
2020-2024,Estonia,EST,EST,0,Total,From 15 to 24 years,eu27_total,EU27 citizens,35.22,35.2,-0.01999999999999602
2020-2024,Estonia,EST,EST,0,Total,From 15 to 24 years,foreign_country,Foreign-country citizens,35.22,33.160000000000004,-2.059999999999995
2020-2024,Estonia,EST,EST,0,Total,From 15 to 24 years,non_eu,Non-EU27 citizens,35.22,33.4,-1.8200000000000003
2020-2024,Estonia,EST,EST,0,Total,From 15 to 29 years,eu27_total,EU27 citizens,52.48,52.46,-0.01999999999999602
2020-2024,Estonia,EST,EST,0,Total,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,52.48,64.3,11.82
2020-2024,Estonia,EST,EST,0,Total,From 15 to 29 years,foreign_country,Foreign-country citizens,52.48,52.67999999999999,0.19999999999999574
2020-2024,Estonia,EST,EST,0,Total,From 15 to 29 years,non_eu,Non-EU27 citizens,52.48,52.96,0.480000000000004
2020-2024,Estonia,EST,EST,0,Total,From 15 to 39 years,eu27_total,EU27 citizens,68.11999999999999,68.13999999999999,0.01999999999999602
2020-2024,Estonia,EST,EST,0,Total,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,68.11999999999999,73.08,4.960000000000008
2020-2024,Estonia,EST,EST,0,Total,From 15 to 39 years,foreign_country,Foreign-country citizens,68.11999999999999,67.62,-0.4999999999999858
2020-2024,Estonia,EST,EST,0,Total,From 15 to 39 years,non_eu,Non-EU27 citizens,68.11999999999999,67.16000000000001,-0.9599999999999795
2020-2024,Estonia,EST,EST,0,Total,From 15 to 59 years,eu27_total,EU27 citizens,76.38,76.42,0.04000000000000625
2020-2024,Estonia,EST,EST,0,Total,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,76.38,78.28,1.9000000000000057
2020-2024,Estonia,EST,EST,0,Total,From 15 to 59 years,foreign_country,Foreign-country citizens,76.38,74.76,-1.6199999999999903
2020-2024,Estonia,EST,EST,0,Total,From 15 to 59 years,non_eu,Non-EU27 citizens,76.38,74.6,-1.7800000000000011
2020-2024,Estonia,EST,EST,0,Total,From 15 to 64 years,eu27_total,EU27 citizens,75.6,75.64000000000001,0.040000000000020464
2020-2024,Estonia,EST,EST,0,Total,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,75.6,77.17999999999999,1.5799999999999983
2020-2024,Estonia,EST,EST,0,Total,From 15 to 64 years,foreign_country,Foreign-country citizens,75.6,72.28,-3.319999999999993
2020-2024,Estonia,EST,EST,0,Total,From 15 to 64 years,non_eu,Non-EU27 citizens,75.6,72.04,-3.559999999999988
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 24 years,eu27_total,EU27 citizens,30.03333333333333,30.166666666666668,0.1333333333333364
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,30.03333333333333,35.266666666666666,5.233333333333334
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 24 years,foreign_country,Foreign-country citizens,30.03333333333333,27.766666666666666,-2.2666666666666657
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 24 years,no_response,No response,30.03333333333333,51.050000000000004,21.016666666666673
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 24 years,non_eu,Non-EU27 citizens,30.03333333333333,23.916666666666668,-6.116666666666664
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 29 years,eu27_total,EU27 citizens,43.85,44.083333333333336,0.23333333333333428
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,43.85,50.0,6.149999999999999
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,43.85,38.300000000000004,-5.549999999999997
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 29 years,no_response,No response,43.85,57.916666666666664,14.066666666666663
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,43.85,32.050000000000004,-11.799999999999997
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 39 years,eu27_total,EU27 citizens,57.383333333333326,57.48333333333334,0.10000000000001563
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,57.383333333333326,59.63333333333333,2.250000000000007
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,57.383333333333326,46.78333333333333,-10.599999999999994
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 39 years,no_response,No response,57.383333333333326,56.16666666666668,-1.2166666666666472
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,57.383333333333326,39.49999999999999,-17.883333333333333
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 39 years,stateless,Stateless,57.383333333333326,33.95,-23.433333333333323
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 59 years,eu27_total,EU27 citizens,64.78333333333332,64.76666666666667,-0.01666666666665151
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,64.78333333333332,64.38333333333334,-0.39999999999997726
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 59 years,foreign_country,Foreign-country citizens,64.78333333333332,52.31666666666667,-12.466666666666647
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 59 years,no_response,No response,64.78333333333332,57.166666666666664,-7.616666666666653
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 59 years,non_eu,Non-EU27 citizens,64.78333333333332,44.98333333333333,-19.79999999999999
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 59 years,stateless,Stateless,64.78333333333332,34.275,-30.50833333333332
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 64 years,eu27_total,EU27 citizens,61.75,61.79999999999999,0.04999999999999005
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,61.75,63.1,1.3500000000000014
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 64 years,foreign_country,Foreign-country citizens,61.75,51.48333333333333,-10.266666666666673
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 64 years,no_response,No response,61.75,56.28333333333333,-5.466666666666669
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 64 years,non_eu,Non-EU27 citizens,61.75,44.416666666666664,-17.333333333333336
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 64 years,stateless,Stateless,61.75,33.725,-28.025
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 24 years,eu27_total,EU27 citizens,33.38333333333333,33.583333333333336,0.20000000000000284
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,33.38333333333333,41.51666666666666,8.133333333333326
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 24 years,foreign_country,Foreign-country citizens,33.38333333333333,35.0,1.6166666666666671
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 24 years,no_response,No response,33.38333333333333,47.73333333333333,14.349999999999994
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 24 years,non_eu,Non-EU27 citizens,33.38333333333333,32.03333333333333,-1.3500000000000014
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 29 years,eu27_total,EU27 citizens,47.949999999999996,48.4,0.45000000000000284
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,47.949999999999996,60.85,12.900000000000006
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 29 years,foreign_country,Foreign-country citizens,47.949999999999996,51.083333333333336,3.13333333333334
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 29 years,no_response,No response,47.949999999999996,58.65,10.700000000000003
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 29 years,non_eu,Non-EU27 citizens,47.949999999999996,46.15,-1.7999999999999972
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 39 years,eu27_total,EU27 citizens,64.0,64.48333333333333,0.4833333333333343
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,64.0,75.23333333333333,11.233333333333334
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 39 years,foreign_country,Foreign-country citizens,64.0,65.88333333333334,1.88333333333334
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 39 years,no_response,No response,64.0,63.25,-0.75
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 39 years,non_eu,Non-EU27 citizens,64.0,60.883333333333326,-3.1166666666666742
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 39 years,stateless,Stateless,64.0,47.15,-16.85
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 59 years,eu27_total,EU27 citizens,73.7,73.86666666666666,0.1666666666666572
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,73.7,78.51666666666668,4.816666666666677
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 59 years,foreign_country,Foreign-country citizens,73.7,70.16666666666667,-3.5333333333333314
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 59 years,no_response,No response,73.7,64.56666666666666,-9.13333333333334
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 59 years,non_eu,Non-EU27 citizens,73.7,65.26666666666667,-8.433333333333337
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 59 years,stateless,Stateless,73.7,49.38333333333333,-24.31666666666667
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 64 years,eu27_total,EU27 citizens,71.06666666666666,71.28333333333335,0.21666666666668277
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,71.06666666666666,76.86666666666666,5.799999999999997
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 64 years,foreign_country,Foreign-country citizens,71.06666666666666,69.05,-2.0166666666666657
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 64 years,no_response,No response,71.06666666666666,64.33333333333333,-6.733333333333334
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 64 years,non_eu,Non-EU27 citizens,71.06666666666666,64.36666666666666,-6.700000000000003
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Males,From 15 to 64 years,stateless,Stateless,71.06666666666666,48.400000000000006,-22.666666666666657
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 24 years,eu27_total,EU27 citizens,31.766666666666666,31.91666666666666,0.14999999999999503
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,31.766666666666666,38.4,6.633333333333333
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 24 years,foreign_country,Foreign-country citizens,31.766666666666666,31.516666666666662,-0.25000000000000355
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 24 years,no_response,No response,31.766666666666666,49.449999999999996,17.68333333333333
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 24 years,non_eu,Non-EU27 citizens,31.766666666666666,28.200000000000003,-3.566666666666663
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 29 years,eu27_total,EU27 citizens,45.949999999999996,46.26666666666667,0.3166666666666771
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,45.949999999999996,55.26666666666667,9.316666666666677
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 29 years,foreign_country,Foreign-country citizens,45.949999999999996,44.616666666666674,-1.3333333333333215
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 29 years,no_response,No response,45.949999999999996,58.24999999999999,12.299999999999997
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 29 years,non_eu,Non-EU27 citizens,45.949999999999996,39.13333333333333,-6.816666666666663
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 29 years,stateless,Stateless,45.949999999999996,33.95,-11.999999999999993
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 39 years,eu27_total,EU27 citizens,60.73333333333333,61.01666666666666,0.28333333333333144
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,60.73333333333333,67.14999999999999,6.416666666666664
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 39 years,foreign_country,Foreign-country citizens,60.73333333333333,56.13333333333333,-4.599999999999994
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 39 years,no_response,No response,60.73333333333333,59.56666666666666,-1.1666666666666643
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 39 years,non_eu,Non-EU27 citizens,60.73333333333333,50.050000000000004,-10.683333333333323
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 39 years,stateless,Stateless,60.73333333333333,39.883333333333326,-20.85
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 59 years,eu27_total,EU27 citizens,69.23333333333333,69.35000000000001,0.11666666666667425
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,69.23333333333333,71.3,2.066666666666663
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 59 years,foreign_country,Foreign-country citizens,69.23333333333333,61.11666666666667,-8.116666666666667
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 59 years,no_response,No response,69.23333333333333,60.73333333333334,-8.499999999999993
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 59 years,non_eu,Non-EU27 citizens,69.23333333333333,55.01666666666667,-14.216666666666661
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 59 years,stateless,Stateless,69.23333333333333,42.449999999999996,-26.78333333333334
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 64 years,eu27_total,EU27 citizens,66.38333333333334,66.55,0.1666666666666572
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,66.38333333333334,69.81666666666666,3.433333333333323
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 64 years,foreign_country,Foreign-country citizens,66.38333333333334,60.13333333333333,-6.250000000000007
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 64 years,no_response,No response,66.38333333333334,60.199999999999996,-6.183333333333344
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 64 years,non_eu,Non-EU27 citizens,66.38333333333334,54.26666666666667,-12.116666666666667
2014-2019,Euro area – 21 countries (from 2026),EA21_2026,,1,Total,From 15 to 64 years,stateless,Stateless,66.38333333333334,41.8,-24.583333333333343
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 24 years,eu27_total,EU27 citizens,32.94,33.02,0.0800000000000054
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,32.94,35.04,2.1000000000000014
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 24 years,foreign_country,Foreign-country citizens,32.94,29.139999999999997,-3.8000000000000007
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 24 years,non_eu,Non-EU27 citizens,32.94,26.3,-6.639999999999997
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 29 years,eu27_total,EU27 citizens,46.620000000000005,46.739999999999995,0.11999999999999034
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,46.620000000000005,50.6,3.979999999999997
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,46.620000000000005,41.220000000000006,-5.399999999999999
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 29 years,no_response,No response,46.620000000000005,57.2,10.579999999999998
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,46.620000000000005,36.980000000000004,-9.64
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 39 years,eu27_total,EU27 citizens,60.36,60.459999999999994,0.09999999999999432
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,60.36,61.94,1.5799999999999983
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,60.36,49.16,-11.200000000000003
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 39 years,no_response,No response,60.36,54.0,-6.359999999999999
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,60.36,43.08,-17.28
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 59 years,eu27_total,EU27 citizens,68.47999999999999,68.4,-0.07999999999998408
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,68.47999999999999,67.02000000000001,-1.4599999999999795
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 59 years,foreign_country,Foreign-country citizens,68.47999999999999,54.279999999999994,-14.199999999999996
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 59 years,no_response,No response,68.47999999999999,56.6,-11.879999999999988
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 59 years,non_eu,Non-EU27 citizens,68.47999999999999,47.4,-21.07999999999999
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 59 years,stateless,Stateless,68.47999999999999,33.9,-34.57999999999999
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 64 years,eu27_total,EU27 citizens,65.74000000000001,65.75999999999999,0.01999999999998181
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,65.74000000000001,65.75999999999999,0.01999999999998181
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 64 years,foreign_country,Foreign-country citizens,65.74000000000001,53.5,-12.240000000000009
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 64 years,no_response,No response,65.74000000000001,56.0,-9.740000000000009
2020-2024,Euro area – 21 countries (from 2026),EA21_2026,,1,Females,From 15 to 64 years,non_eu,Non-EU27 citizens,65.74000000000001,46.8,-18.940000000000012
