period,country,country_key,iso3,is_aggregate,sex,age,comparison_group,comparison_label,reporting_country_rate_pct,comparison_rate_pct,employment_rate_gap_pp
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 24 years,foreign_country,Foreign-country citizens,52.916666666666664,42.86666666666667,-10.049999999999997
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 24 years,non_eu,Non-EU27 citizens,52.916666666666664,39.85,-13.066666666666663
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 29 years,eu27_total,EU27 citizens,64.21666666666665,63.93333333333333,-0.28333333333332433
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,64.21666666666665,61.083333333333336,-3.1333333333333186
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 29 years,foreign_country,Foreign-country citizens,64.21666666666665,54.13333333333333,-10.083333333333321
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 29 years,non_eu,Non-EU27 citizens,64.21666666666665,47.666666666666664,-16.54999999999999
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 39 years,eu27_total,EU27 citizens,73.95,73.75,-0.20000000000000284
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,73.95,72.23333333333335,-1.7166666666666544
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 39 years,foreign_country,Foreign-country citizens,73.95,63.96666666666666,-9.983333333333341
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 39 years,non_eu,Non-EU27 citizens,73.95,55.65,-18.300000000000004
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 59 years,eu27_total,EU27 citizens,78.41666666666666,78.10000000000001,-0.31666666666664867
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,78.41666666666666,75.36666666666666,-3.049999999999997
2014-2019,Austria,AUT,AUT,0,Total,From 15 to 59 years,foreign_country,Foreign-country citizens,78.41666666666666,66.76666666666667,-11.649999999999991
