DATAFLOW,LAST UPDATE,freq,citizen,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BE,2008,4124,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BE,2009,4276,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BE,2010,4430,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BE,2011,4854,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BE,2012,4902,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BE,2013,5271,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BE,2015,4812,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BE,2017,4627,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BE,2018,4555,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BE,2019,4771,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BE,2020,4593,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BE,2021,4706,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BE,2022,4730,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BE,2023,5219,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BE,2024,5711,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2008,187,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2009,165,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2010,146,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2011,175,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2012,180,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2013,253,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2014,232,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2015,242,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2016,215,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2017,186,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2018,161,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2019,137,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2020,154,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2021,159,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2022,134,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2023,163,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,BG,2024,172,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2008,3581,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2009,3831,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2010,4030,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2011,3911,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2012,4390,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2013,4857,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2014,4673,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2015,4514,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2016,4599,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2017,4615,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2018,4679,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2019,4478,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2020,4340,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2021,4230,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2022,4396,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2023,4734,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CH,2024,4801,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2008,377,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2009,321,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2010,374,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2011,356,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2012,404,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2013,306,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2014,239,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2015,214,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2016,237,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2017,151,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2018,276,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2019,372,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2020,260,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2021,417,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2022,531,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2023,544,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CY,2024,521,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CZ,2008,1449,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CZ,2009,579,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CZ,2010,1600,,
ESTAT:CRIM_PRIS_CTZ(1.0),29/04/26 11:00:00,A,FOR,NR,CZ,2011,1730,,
