YEAR,STATEFIP,US_State,is_imigrant,total_educated_pop,brain_waste_pop,brain_waste_pct
2014,49,Utah,True,43125.0,16221.0,37.613913043478256
2014,50,Vermont,False,132900.0,39238.0,29.524454477050416
2014,50,Vermont,True,9565.0,1619.0,16.926293779404077
2014,51,Virginia,False,1529513.0,396170.0,25.90170858305879
2014,51,Virginia,True,353760.0,98598.0,27.871438263229308
2014,53,Washington,False,1158243.0,344968.0,29.783732774555943
2014,53,Washington,True,247708.0,69278.0,27.96760702117009
2014,54,West Virginia,False,215029.0,64903.0,30.183370615126332
2014,54,West Virginia,True,8574.0,1625.0,18.952647539071613
2014,55,Wisconsin,False,964347.0,290781.0,30.153150266449728
2014,55,Wisconsin,True,65371.0,13364.0,20.443315843416805
2014,56,Wyoming,False,85163.0,28355.0,33.294975517536955
2014,56,Wyoming,True,4946.0,1274.0,25.758188435099072
2015,1,Alabama,False,635282.0,186403.0,29.341772630107577
2015,1,Alabama,True,42394.0,13479.0,31.79459357456244
2015,2,Alaska,False,104162.0,33653.0,32.308327413068106
2015,2,Alaska,True,15938.0,7547.0,47.352239929727695
2015,4,Arizona,False,892681.0,276187.0,30.939047655321446
2015,4,Arizona,True,151274.0,44007.0,29.090921110038735
2015,5,Arkansas,False,341346.0,101849.0,29.8374669689992
2015,5,Arkansas,True,26962.0,8521.0,31.603738595059717
2015,6,California,False,5039125.0,1391837.0,27.620608736635827
2015,6,California,True,2335189.0,696169.0,29.812105144380176
2015,8,Colorado,False,1171775.0,361197.0,30.824774380747154
2015,8,Colorado,True,127258.0,41331.0,32.47811532477329
2015,9,Connecticut,False,710878.0,197699.0,27.810538517157656
2015,9,Connecticut,True,145878.0,40533.0,27.785546826800477
2015,10,Delaware,False,152202.0,41250.0,27.10214057633934
2015,10,Delaware,True,26079.0,5685.0,21.799148740365812
2015,11,District of Columbia,False,215693.0,40293.0,18.68071750126337
2015,11,District of Columbia,True,53184.0,9222.0,17.33980144404332
2015,12,Florida,False,2420093.0,790987.0,32.68415717908361
2015,12,Florida,True,910380.0,352783.0,38.751180825589316
2015,13,Georgia,False,1489044.0,446552.0,29.989174262144036
2015,13,Georgia,True,283131.0,88832.0,31.374875940818914
2015,15,Hawaii,False,213706.0,71850.0,33.62095589267498
2015,15,Hawaii,True,54366.0,24348.0,44.78534378103962
2015,16,Idaho,False,219290.0,67403.0,30.73692370833143
2015,16,Idaho,True,14570.0,3261.0,22.381606039807824
2015,17,Illinois,False,2162030.0,656155.0,30.349023834081855
2015,17,Illinois,True,453943.0,138006.0,30.401614299592676
2015,18,Indiana,False,929446.0,282982.0,30.4463088764705
2015,18,Indiana,True,75071.0,20058.0,26.718706291377497
2015,19,Iowa,False,485570.0,149971.0,30.885557180221184
2015,19,Iowa,True,35078.0,10537.0,30.03877073949484
2015,20,Kansas,False,503736.0,143327.0,28.45280067336859
2015,20,Kansas,True,47143.0,13819.0,29.312941475934924
2015,21,Kentucky,False,569744.0,174912.0,30.700103906315817
2015,21,Kentucky,True,42979.0,14441.0,33.60013029619116
2015,22,Louisiana,False,595168.0,172524.0,28.987445561589332
2015,22,Louisiana,True,42642.0,11656.0,27.33455278833075
2015,23,Maine,False,242961.0,73064.0,30.072316133041927
2015,23,Maine,True,15419.0,4620.0,29.96303262208963
2015,24,Maryland,False,1138264.0,280791.0,24.668354617206553
2015,24,Maryland,True,330900.0,92402.0,27.92444847385917
2015,25,Massachusetts,False,1486394.0,414681.0,27.898457609489814
2015,25,Massachusetts,True,342744.0,82959.0,24.20436243960507
2015,26,Michigan,False,1459572.0,434342.0,29.758175684378706
2015,26,Michigan,True,206183.0,48621.0,23.581478589408437
2015,27,Minnesota,False,1080555.0,311887.0,28.863593246063367
2015,27,Minnesota,True,133411.0,34839.0,26.114038572531502
2015,28,Mississippi,False,337119.0,108577.0,32.207321450289065
2015,28,Mississippi,True,14192.0,4436.0,31.25704622322435
2015,29,Missouri,False,950735.0,287408.0,30.23008514465124
2015,29,Missouri,True,76996.0,18406.0,23.90513792924308
2015,30,Montana,False,171881.0,53435.0,31.088369278745176
2015,30,Montana,True,5924.0,1328.0,22.417285617825794
2015,31,Nebraska,False,322797.0,97988.0,30.35592028426534
