Year,Country,EU_Migrant,Extra_EU_Migrant,Native,Gap_ExtraEU_vs_Native_PP,Metric,Ratio_Foreign_vs_Native
1995,AT,80.20833333333333,84.89166666666667,80.19999999999999,4.691666666666677,Highly_Educated_Employment_Rate,
1995,BE,68.3,55.66,72.28333333333333,-16.623333333333335,Highly_Educated_Employment_Rate,
1995,DE,76.5529411764706,60.14375,75.61111111111111,-15.467361111111117,Highly_Educated_Employment_Rate,
1995,DK,94.13,68.84545454545454,79.01111111111112,-10.165656565656576,Highly_Educated_Employment_Rate,
1995,EL,69.0,62.81666666666666,68.59444444444445,-5.777777777777786,Highly_Educated_Employment_Rate,
1995,ES,61.625,58.79333333333333,65.83888888888889,-7.045555555555559,Highly_Educated_Employment_Rate,
1995,FI,,,73.94444444444444,,Highly_Educated_Employment_Rate,
1995,FR,70.74166666666666,57.65833333333333,69.67777777777778,-12.019444444444446,Highly_Educated_Employment_Rate,
1995,LU,75.16875,68.925,78.6470588235294,-9.722058823529409,Highly_Educated_Employment_Rate,
1995,UK,80.43333333333334,69.97333333333333,84.18333333333334,-14.210000000000008,Highly_Educated_Employment_Rate,
1996,AT,79.19166666666668,71.15833333333333,78.22777777777777,-7.069444444444443,Highly_Educated_Employment_Rate,
1996,BE,65.78235294117647,62.31333333333334,71.69999999999999,-9.386666666666649,Highly_Educated_Employment_Rate,
1996,CH,84.40625,74.21538461538461,83.78333333333333,-9.567948717948724,Highly_Educated_Employment_Rate,
1996,DE,76.44117647058823,56.84375,74.63888888888889,-17.795138888888886,Highly_Educated_Employment_Rate,
1996,DK,87.52727272727272,61.83,79.27222222222223,-17.442222222222227,Highly_Educated_Employment_Rate,
1996,EL,67.99166666666666,69.8,68.83333333333333,0.9666666666666686,Highly_Educated_Employment_Rate,
1996,ES,55.831250000000004,55.93125,66.49444444444444,-10.563194444444441,Highly_Educated_Employment_Rate,
1996,FI,,61.7,73.35,-11.649999999999991,Highly_Educated_Employment_Rate,
1996,FR,71.85833333333333,64.43571428571428,71.20555555555556,-6.7698412698412795,Highly_Educated_Employment_Rate,
1996,LU,79.0,84.68333333333334,77.31176470588235,7.3715686274509835,Highly_Educated_Employment_Rate,
1996,NO,84.72142857142856,67.41666666666667,81.12777777777778,-13.711111111111109,Highly_Educated_Employment_Rate,
1996,UK,81.12666666666668,72.16428571428571,84.50555555555555,-12.341269841269835,Highly_Educated_Employment_Rate,
1997,AT,77.48333333333333,77.68333333333332,77.82222222222222,-0.13888888888889994,Highly_Educated_Employment_Rate,
1997,BE,75.5875,51.23846153846154,71.88333333333334,-20.644871794871797,Highly_Educated_Employment_Rate,
1997,CH,83.3625,62.71333333333334,83.32777777777778,-20.614444444444445,Highly_Educated_Employment_Rate,
1997,DE,76.36470588235295,55.682352941176475,73.23888888888888,-17.556535947712405,Highly_Educated_Employment_Rate,
1997,DK,88.66666666666667,61.9,80.51666666666667,-18.616666666666667,Highly_Educated_Employment_Rate,
1997,EL,71.48333333333333,65.89999999999999,69.44999999999999,-3.549999999999997,Highly_Educated_Employment_Rate,
1997,ES,59.475,51.413333333333334,67.13333333333334,-15.720000000000006,Highly_Educated_Employment_Rate,
1997,FI,,37.33,74.53888888888889,-37.20888888888889,Highly_Educated_Employment_Rate,
1997,FR,71.75,59.90714285714286,71.12777777777778,-11.220634920634922,Highly_Educated_Employment_Rate,
1997,LU,78.66470588235293,71.5,77.36470588235295,-5.8647058823529505,Highly_Educated_Employment_Rate,
1997,NO,87.82,74.93571428571428,83.03888888888889,-8.103174603174608,Highly_Educated_Employment_Rate,
1997,SE,86.16666666666667,53.96,78.11666666666666,-24.15666666666666,Highly_Educated_Employment_Rate,
1997,UK,82.38000000000001,78.97333333333333,85.68333333333334,-6.710000000000008,Highly_Educated_Employment_Rate,
1998,AT,79.82307692307693,79.575,84.08235294117648,-4.507352941176478,Highly_Educated_Employment_Rate,
1998,BE,71.8,61.67333333333333,72.52222222222223,-10.848888888888894,Highly_Educated_Employment_Rate,
1998,CH,80.83125,82.15625,84.01666666666667,-1.8604166666666657,Highly_Educated_Employment_Rate,
1998,CZ,85.96000000000001,85.49000000000001,80.71666666666665,4.773333333333355,Highly_Educated_Employment_Rate,
1998,DK,90.87,68.97500000000001,80.27777777777777,-11.302777777777763,Highly_Educated_Employment_Rate,
1998,EE,73.11818181818181,72.17647058823529,81.98333333333333,-9.806862745098044,Highly_Educated_Employment_Rate,
1998,EL,62.38181818181818,65.95,69.60555555555555,-3.6555555555555515,Highly_Educated_Employment_Rate,
1998,ES,66.78125,60.24,68.28333333333333,-8.04333333333333,Highly_Educated_Employment_Rate,
1998,FI,,36.84444444444445,74.02222222222223,-37.17777777777778,Highly_Educated_Employment_Rate,
1998,FR,67.39999999999999,58.96666666666667,69.86666666666666,-10.899999999999991,Highly_Educated_Employment_Rate,
1998,LT,,,73.12777777777778,,Highly_Educated_Employment_Rate,
1998,NO,91.88125,73.14999999999999,83.13333333333334,-9.983333333333348,Highly_Educated_Employment_Rate,
1998,SE,76.86363636363636,59.49166666666667,77.62222222222222,-18.130555555555553,Highly_Educated_Employment_Rate,
1999,AT,83.99166666666666,69.4,75.1,-5.699999999999989,Highly_Educated_Employment_Rate,
1999,BE,79.9,53.23333333333333,74.44999999999999,-21.21666666666666,Highly_Educated_Employment_Rate,
1999,CH,81.5875,74.725,86.35555555555555,-11.63055555555556,Highly_Educated_Employment_Rate,
1999,CY,71.68333333333334,66.09166666666667,81.80555555555556,-15.713888888888889,Highly_Educated_Employment_Rate,
1999,CZ,79.86,84.35,79.06111111111112,5.288888888888877,Highly_Educated_Employment_Rate,
1999,DE,77.58823529411765,60.6,74.97777777777777,-14.377777777777773,Highly_Educated_Employment_Rate,
1999,DK,80.96666666666667,65.875,83.83529411764707,-17.960294117647067,Highly_Educated_Employment_Rate,
1999,EE,62.25555555555555,70.8529411764706,80.00555555555555,-9.152614379084952,Highly_Educated_Employment_Rate,
1999,EL,73.84166666666667,65.35000000000001,70.9,-5.549999999999997,Highly_Educated_Employment_Rate,
1999,ES,57.73125,67.45625,69.4388888888889,-1.9826388888889,Highly_Educated_Employment_Rate,
1999,FI,,57.05,77.03888888888889,-19.988888888888894,Highly_Educated_Employment_Rate,
1999,FR,69.08333333333333,52.35,70.38888888888889,-18.038888888888884,Highly_Educated_Employment_Rate,
1999,IE,76.78999999999999,76.50714285714285,84.2235294117647,-7.716386554621849,Highly_Educated_Employment_Rate,
1999,IS,,,94.65625,,Highly_Educated_Employment_Rate,
1999,LT,,,74.35,,Highly_Educated_Employment_Rate,
1999,LU,79.625,69.60000000000001,82.20625,-12.606249999999989,Highly_Educated_Employment_Rate,
1999,NL,84.5,62.98125,78.79444444444444,-15.813194444444434,Highly_Educated_Employment_Rate,
1999,NO,90.16000000000001,81.63333333333334,82.27777777777777,-0.6444444444444315,Highly_Educated_Employment_Rate,
1999,PT,,,85.06470588235294,,Highly_Educated_Employment_Rate,
1999,SE,80.86666666666666,60.99166666666667,78.36666666666666,-17.374999999999993,Highly_Educated_Employment_Rate,
1999,UK,81.99333333333334,77.25333333333333,86.02777777777777,-8.774444444444441,Highly_Educated_Employment_Rate,
2000,AT,80.26428571428572,80.34166666666667,76.38333333333334,3.9583333333333286,Highly_Educated_Employment_Rate,
2000,BE,73.79333333333334,66.33333333333333,75.13333333333334,-8.800000000000011,Highly_Educated_Employment_Rate,
2000,CH,83.91764705882352,75.03999999999999,84.15,-9.110000000000014,Highly_Educated_Employment_Rate,
2000,CY,79.20833333333333,60.38125,82.08333333333333,-21.702083333333327,Highly_Educated_Employment_Rate,
2000,CZ,85.25,68.65,77.36666666666666,-8.716666666666654,Highly_Educated_Employment_Rate,
2000,DE,73.9125,58.39411764705883,75.65555555555555,-17.261437908496724,Highly_Educated_Employment_Rate,
2000,DK,90.94,61.98888888888889,80.75,-18.761111111111113,Highly_Educated_Employment_Rate,
2000,EE,,77.43125,78.28823529411765,-0.8569852941176492,Highly_Educated_Employment_Rate,
2000,EL,78.05833333333334,73.00833333333334,71.86666666666666,1.14166666666668,Highly_Educated_Employment_Rate,
2000,ES,58.476470588235294,59.78235294117647,70.90555555555555,-11.123202614379082,Highly_Educated_Employment_Rate,
2000,FI,72.83333333333333,51.67,76.28333333333333,-24.61333333333333,Highly_Educated_Employment_Rate,
2000,FR,69.0,60.18666666666666,71.40555555555555,-11.218888888888891,Highly_Educated_Employment_Rate,
2000,IE,82.02000000000001,74.52142857142857,84.47647058823529,-9.955042016806715,Highly_Educated_Employment_Rate,
2000,IS,,,95.5375,,Highly_Educated_Employment_Rate,
2000,LT,,,72.42777777777778,,Highly_Educated_Employment_Rate,
2000,LU,74.87647058823529,79.3,78.43529411764706,0.8647058823529363,Highly_Educated_Employment_Rate,
2000,NL,78.05,62.1,77.61111111111111,-15.511111111111113,Highly_Educated_Employment_Rate,
2000,NO,82.64,78.1,82.52777777777777,-4.427777777777777,Highly_Educated_Employment_Rate,
2000,PT,,,82.11666666666666,,Highly_Educated_Employment_Rate,
2000,SE,79.625,58.61666666666667,78.36666666666666,-19.749999999999993,Highly_Educated_Employment_Rate,
2000,UK,82.96666666666667,80.24375,86.29444444444444,-6.0506944444444315,Highly_Educated_Employment_Rate,
2001,AT,81.92307692307692,77.29166666666667,76.77222222222223,0.5194444444444457,Highly_Educated_Employment_Rate,
2001,BE,77.1375,57.583333333333336,74.07222222222222,-16.488888888888887,Highly_Educated_Employment_Rate,
2001,BG,,,65.94444444444444,,Highly_Educated_Employment_Rate,
2001,CH,84.83125,80.8,84.03333333333333,-3.2333333333333343,Highly_Educated_Employment_Rate,
2001,CY,87.43571428571428,61.800000000000004,83.27777777777777,-21.477777777777767,Highly_Educated_Employment_Rate,
2001,CZ,78.01,66.61666666666666,79.62222222222222,-13.00555555555556,Highly_Educated_Employment_Rate,
2001,DE,75.92941176470588,61.6,75.72222222222223,-14.122222222222227,Highly_Educated_Employment_Rate,
2001,DK,78.5,58.300000000000004,80.71111111111111,-22.411111111111104,Highly_Educated_Employment_Rate,
2001,EE,,55.50909090909091,76.28888888888889,-20.779797979797983,Highly_Educated_Employment_Rate,
2001,EL,62.324999999999996,70.03999999999999,70.47777777777777,-0.43777777777778226,Highly_Educated_Employment_Rate,
2001,ES,65.04117647058824,71.91176470588235,71.99444444444445,-0.08267973856210631,Highly_Educated_Employment_Rate,
2001,FI,83.64444444444445,60.620000000000005,77.24444444444445,-16.62444444444445,Highly_Educated_Employment_Rate,
2001,FR,68.06428571428572,61.86666666666667,72.05555555555556,-10.18888888888889,Highly_Educated_Employment_Rate,
2001,HU,80.6888888888889,73.125,74.85555555555555,-1.7305555555555543,Highly_Educated_Employment_Rate,
2001,IE,84.09,76.62666666666668,84.24705882352941,-7.620392156862735,Highly_Educated_Employment_Rate,
2001,IS,,,92.8375,,Highly_Educated_Employment_Rate,
2001,LT,,,77.73333333333333,,Highly_Educated_Employment_Rate,
2001,LU,77.65882352941176,80.90714285714286,81.24117647058823,-0.33403361344537075,Highly_Educated_Employment_Rate,
2001,NL,81.60625,71.13529411764705,77.98888888888888,-6.853594771241831,Highly_Educated_Employment_Rate,
2001,NO,80.31333333333333,79.42,82.44444444444444,-3.024444444444441,Highly_Educated_Employment_Rate,
2001,PT,,,85.4235294117647,,Highly_Educated_Employment_Rate,
2001,SE,76.47333333333333,69.62666666666665,80.96666666666667,-11.340000000000018,Highly_Educated_Employment_Rate,
