period,year_start,year_end,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,years_observed,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
1995-2007,1995,2007,Ireland,IE,IRL,IRL,0,brain_waste,Highly educated employment rate,percentage points,8,81.34,83.16,73.96,-7.38,
1995-2007,1995,2007,Ireland,IE,IRL,IRL,0,poverty,Poverty risk rate,percentage points,5,20.87,,,,
1995-2007,1995,2007,Ireland,IE,IRL,IRL,0,temporary_contract,Temporary contract rate,percentage points,9,5.69,11.25,9.42,3.55,
1995-2007,1995,2007,Iceland,IS,ISL,ISL,0,brain_waste,Highly educated employment rate,percentage points,9,92.07,93.52,85.05,-3.7,
1995-2007,1995,2007,Iceland,IS,ISL,ISL,0,poverty,Poverty risk rate,percentage points,4,12.08,,,,
1995-2007,1995,2007,Iceland,IS,ISL,ISL,0,temporary_contract,Temporary contract rate,percentage points,12,7.96,,,,
1995-2007,1995,2007,Italy,IT,ITA,ITA,0,brain_waste,Highly educated employment rate,percentage points,3,71.78,71.79,73.6,1.82,
1995-2007,1995,2007,Italy,IT,ITA,ITA,0,poverty,Poverty risk rate,percentage points,4,24.79,,,,
1995-2007,1995,2007,Italy,IT,ITA,ITA,0,temporary_contract,Temporary contract rate,percentage points,3,15.69,17.53,16.43,0.74,
1995-2007,1995,2007,Lithuania,LT,LTU,LTU,0,brain_waste,Highly educated employment rate,percentage points,10,76.68,,,,
1995-2007,1995,2007,Lithuania,LT,LTU,LTU,0,poverty,Poverty risk rate,percentage points,3,33.63,,,,
1995-2007,1995,2007,Lithuania,LT,LTU,LTU,0,temporary_contract,Temporary contract rate,percentage points,10,6.69,,,,
1995-2007,1995,2007,Luxembourg,LU,LUX,LUX,0,brain_waste,Highly educated employment rate,percentage points,12,79.21,78.41,73.91,-5.3,
1995-2007,1995,2007,Luxembourg,LU,LUX,LUX,0,poverty,Poverty risk rate,percentage points,5,11.57,,,,
1995-2007,1995,2007,Luxembourg,LU,LUX,LUX,0,temporary_contract,Temporary contract rate,percentage points,12,6.89,6.05,8.33,0.19,
1995-2007,1995,2007,Latvia,LV,LVA,LVA,0,brain_waste,Highly educated employment rate,percentage points,4,80.22,84.52,68.29,-12.64,
1995-2007,1995,2007,Latvia,LV,LVA,LVA,0,poverty,Poverty risk rate,percentage points,3,37.48,,,,
1995-2007,1995,2007,Latvia,LV,LVA,LVA,0,temporary_contract,Temporary contract rate,percentage points,4,8.13,,,,
1995-2007,1995,2007,North Macedonia,MK,MKD,MKD,0,brain_waste,Highly educated employment rate,percentage points,2,65.71,,,,
1995-2007,1995,2007,North Macedonia,MK,MKD,MKD,0,temporary_contract,Temporary contract rate,percentage points,2,14.2,,,,
1995-2007,1995,2007,Malta,MT,MLT,MLT,0,brain_waste,Highly educated employment rate,percentage points,3,79.72,,62.84,-16.88,
1995-2007,1995,2007,Malta,MT,MLT,MLT,0,poverty,Poverty risk rate,percentage points,3,18.14,,,,
1995-2007,1995,2007,Malta,MT,MLT,MLT,0,temporary_contract,Temporary contract rate,percentage points,3,4.76,,,,
1995-2007,1995,2007,Netherlands,NL,NLD,NLD,0,brain_waste,Highly educated employment rate,percentage points,9,77.78,82.02,63.54,-14.24,
1995-2007,1995,2007,Netherlands,NL,NLD,NLD,0,poverty,Poverty risk rate,percentage points,3,16.44,,,,
1995-2007,1995,2007,Netherlands,NL,NLD,NLD,0,temporary_contract,Temporary contract rate,percentage points,9,15.53,23.23,35.08,19.55,
1995-2007,1995,2007,Norway,NO,NOR,NOR,0,brain_waste,Highly educated employment rate,percentage points,12,82.78,86.76,74.01,-8.77,
