YEAR,period,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
1998,1995-2007,Denmark,DK,DNK,DNK,0,brain_waste,Highly educated employment rate,percentage points,80.27777777777777,90.87,68.97500000000001,-11.302777777777763,
1998,1995-2007,Spain,ES,ESP,ESP,0,brain_waste,Highly educated employment rate,percentage points,68.28333333333333,66.78125,60.24,-8.04333333333333,
1998,1995-2007,Estonia,EE,EST,EST,0,brain_waste,Highly educated employment rate,percentage points,81.98333333333333,73.11818181818181,72.17647058823529,-9.806862745098044,
1998,1995-2007,Finland,FI,FIN,FIN,0,brain_waste,Highly educated employment rate,percentage points,74.02222222222223,,36.84444444444445,-37.17777777777778,
1998,1995-2007,France,FR,FRA,FRA,0,brain_waste,Highly educated employment rate,percentage points,69.86666666666666,67.39999999999999,58.96666666666667,-10.899999999999991,
1998,1995-2007,Greece,EL,GRC,GRC,0,brain_waste,Highly educated employment rate,percentage points,69.60555555555555,62.38181818181818,65.95,-3.6555555555555515,
1998,1995-2007,Lithuania,LT,LTU,LTU,0,brain_waste,Highly educated employment rate,percentage points,73.12777777777778,,,,
1998,1995-2007,Norway,NO,NOR,NOR,0,brain_waste,Highly educated employment rate,percentage points,83.13333333333334,91.88125,73.14999999999999,-9.983333333333348,
1998,1995-2007,Sweden,SE,SWE,SWE,0,brain_waste,Highly educated employment rate,percentage points,77.62222222222222,76.86363636363636,59.49166666666667,-18.130555555555553,
1999,1995-2007,Austria,AT,AUT,AUT,0,brain_waste,Highly educated employment rate,percentage points,75.1,83.99166666666666,69.4,-5.699999999999989,
1999,1995-2007,Belgium,BE,BEL,BEL,0,brain_waste,Highly educated employment rate,percentage points,74.44999999999999,79.9,53.23333333333333,-21.21666666666666,
1999,1995-2007,Switzerland,CH,CHE,CHE,0,brain_waste,Highly educated employment rate,percentage points,86.35555555555555,81.5875,74.725,-11.63055555555556,
1999,1995-2007,Cyprus,CY,CYP,CYP,0,brain_waste,Highly educated employment rate,percentage points,81.80555555555556,71.68333333333334,66.09166666666667,-15.713888888888889,
1999,1995-2007,Czechia,CZ,CZE,CZE,0,brain_waste,Highly educated employment rate,percentage points,79.06111111111112,79.86,84.35,5.288888888888877,
1999,1995-2007,Germany,DE,DEU,DEU,0,brain_waste,Highly educated employment rate,percentage points,74.97777777777777,77.58823529411765,60.6,-14.377777777777773,
1999,1995-2007,Denmark,DK,DNK,DNK,0,brain_waste,Highly educated employment rate,percentage points,83.83529411764707,80.96666666666667,65.875,-17.960294117647067,
1999,1995-2007,Spain,ES,ESP,ESP,0,brain_waste,Highly educated employment rate,percentage points,69.4388888888889,57.73125,67.45625,-1.9826388888889,
