YEAR,period,country,country_key,iso3,is_aggregate,sex,age,citizen_group,citizen_label,employment_rate_pct,obs_flag,conf_status
2019,2014-2019,Spain,ESP,ESP,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,61.3,,
2020,2020-2024,Spain,ESP,ESP,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,59.3,,
2021,2020-2024,Spain,ESP,ESP,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,61.2,bd,
2022,2020-2024,Spain,ESP,ESP,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,62.8,d,
2023,2020-2024,Spain,ESP,ESP,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,63.9,d,
2024,2020-2024,Spain,ESP,ESP,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,65.1,d,
2014,2014-2019,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,62.6,,
2015,2014-2019,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,63.4,,
2016,2014-2019,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,64.4,,
2017,2014-2019,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,65.5,,
2018,2014-2019,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,66.4,,
2019,2014-2019,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,67.2,,
2020,2020-2024,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,66.4,,
2021,2020-2024,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,67.6,b,
2022,2020-2024,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,69.1,,
2023,2020-2024,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,69.7,,
2024,2020-2024,European Union - 27 countries (from 2020),EU27_2020,,1,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,70.1,,
2014,2014-2019,Finland,FIN,FIN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,71.8,,
2015,2014-2019,Finland,FIN,FIN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,71.4,,
2016,2014-2019,Finland,FIN,FIN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,71.2,,
2017,2014-2019,Finland,FIN,FIN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,72.0,,
2018,2014-2019,Finland,FIN,FIN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,74.0,,
2019,2014-2019,Finland,FIN,FIN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,74.8,,
2020,2020-2024,Finland,FIN,FIN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,73.3,,
2021,2020-2024,Finland,FIN,FIN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,74.8,b,
2022,2020-2024,Finland,FIN,FIN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,76.1,,
2023,2020-2024,Finland,FIN,FIN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,76.7,,
2024,2020-2024,Finland,FIN,FIN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,75.1,,
2014,2014-2019,France,FRA,FRA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,65.7,b,
2015,2014-2019,France,FRA,FRA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,65.9,,
2016,2014-2019,France,FRA,FRA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,66.3,,
2017,2014-2019,France,FRA,FRA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,66.5,,
2018,2014-2019,France,FRA,FRA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,67.1,,
2019,2014-2019,France,FRA,FRA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,67.7,,
2020,2020-2024,France,FRA,FRA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,67.3,,
2021,2020-2024,France,FRA,FRA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,69.7,bd,
2022,2020-2024,France,FRA,FRA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,70.9,d,
2023,2020-2024,France,FRA,FRA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,70.8,d,
2024,2020-2024,France,FRA,FRA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,71.0,d,
2014,2014-2019,Croatia,HRV,HRV,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,54.1,,
2015,2014-2019,Croatia,HRV,HRV,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,55.4,,
2016,2014-2019,Croatia,HRV,HRV,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,56.8,,
2017,2014-2019,Croatia,HRV,HRV,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,58.7,,
2018,2014-2019,Croatia,HRV,HRV,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,60.4,,
2019,2014-2019,Croatia,HRV,HRV,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,61.8,,
2020,2020-2024,Croatia,HRV,HRV,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,61.9,,
2021,2020-2024,Croatia,HRV,HRV,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,63.5,b,
2022,2020-2024,Croatia,HRV,HRV,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,64.8,,
2023,2020-2024,Croatia,HRV,HRV,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,66.4,,
2024,2020-2024,Croatia,HRV,HRV,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,69.5,,
2014,2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,61.3,,
2015,2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,63.2,,
2016,2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,65.5,,
2017,2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,66.6,,
2018,2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,67.5,b,
2019,2014-2019,Hungary,HUN,HUN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,67.7,,
2020,2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,66.5,,
2021,2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,72.4,b,
2022,2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,73.9,,
2023,2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,74.1,,
2024,2020-2024,Hungary,HUN,HUN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,74.6,,
2014,2014-2019,Ireland,IRL,IRL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,60.4,,
2015,2014-2019,Ireland,IRL,IRL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,61.8,,
2016,2014-2019,Ireland,IRL,IRL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,63.4,,
2017,2014-2019,Ireland,IRL,IRL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,64.3,b,
2018,2014-2019,Ireland,IRL,IRL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,65.0,,
2019,2014-2019,Ireland,IRL,IRL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,65.8,,
2020,2020-2024,Ireland,IRL,IRL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,64.4,,
2021,2020-2024,Ireland,IRL,IRL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,67.4,b,
2022,2020-2024,Ireland,IRL,IRL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,70.2,,
2023,2020-2024,Ireland,IRL,IRL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,71.4,,
2024,2020-2024,Ireland,IRL,IRL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,72.1,,
2014,2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,80.6,,
2015,2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,82.7,,
2016,2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,84.3,,
2017,2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,83.9,,
2018,2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,83.5,,
2019,2014-2019,Iceland,ISL,ISL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,82.7,,
2020,2020-2024,Iceland,ISL,ISL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,78.6,b,
2021,2020-2024,Iceland,ISL,ISL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,77.8,b,
2022,2020-2024,Iceland,ISL,ISL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,81.4,,
2023,2020-2024,Iceland,ISL,ISL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,82.1,,
2024,2020-2024,Iceland,ISL,ISL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,83.8,,
2014,2014-2019,Italy,ITA,ITA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,49.2,,
2015,2014-2019,Italy,ITA,ITA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,49.5,,
2016,2014-2019,Italy,ITA,ITA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,50.3,,
2017,2014-2019,Italy,ITA,ITA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,51.1,,
2018,2014-2019,Italy,ITA,ITA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,51.7,b,
2019,2014-2019,Italy,ITA,ITA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,52.4,,
2020,2020-2024,Italy,ITA,ITA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,51.7,,
2021,2020-2024,Italy,ITA,ITA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,52.4,b,
2022,2020-2024,Italy,ITA,ITA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,54.1,,
2023,2020-2024,Italy,ITA,ITA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,55.5,,
2024,2020-2024,Italy,ITA,ITA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,56.1,,
2014,2014-2019,Lithuania,LTU,LTU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,67.8,,
2015,2014-2019,Lithuania,LTU,LTU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,69.2,,
2016,2014-2019,Lithuania,LTU,LTU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,71.4,,
2017,2014-2019,Lithuania,LTU,LTU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,72.4,,
2018,2014-2019,Lithuania,LTU,LTU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,73.7,,
2019,2014-2019,Lithuania,LTU,LTU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,74.8,,
2020,2020-2024,Lithuania,LTU,LTU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,72.9,,
2021,2020-2024,Lithuania,LTU,LTU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,73.8,b,
2022,2020-2024,Lithuania,LTU,LTU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,75.3,,
2023,2020-2024,Lithuania,LTU,LTU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,74.1,,
2024,2020-2024,Lithuania,LTU,LTU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,74.8,,
2014,2014-2019,Luxembourg,LUX,LUX,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,62.7,,
2015,2014-2019,Luxembourg,LUX,LUX,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,65.0,b,
2016,2014-2019,Luxembourg,LUX,LUX,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,64.4,,
2017,2014-2019,Luxembourg,LUX,LUX,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,66.0,,
2018,2014-2019,Luxembourg,LUX,LUX,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,65.5,,
2019,2014-2019,Luxembourg,LUX,LUX,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,67.0,,
2020,2020-2024,Luxembourg,LUX,LUX,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,68.5,,
2021,2020-2024,Luxembourg,LUX,LUX,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,69.8,b,
2022,2020-2024,Luxembourg,LUX,LUX,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,69.4,,
2023,2020-2024,Luxembourg,LUX,LUX,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,69.0,,
2024,2020-2024,Luxembourg,LUX,LUX,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,69.9,,
2014,2014-2019,Latvia,LVA,LVA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,67.3,,
2015,2014-2019,Latvia,LVA,LVA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,69.5,,
2016,2014-2019,Latvia,LVA,LVA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,70.6,,
2017,2014-2019,Latvia,LVA,LVA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,71.5,,
2018,2014-2019,Latvia,LVA,LVA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,73.5,,
2019,2014-2019,Latvia,LVA,LVA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,73.1,,
2020,2020-2024,Latvia,LVA,LVA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,72.3,,
2021,2020-2024,Latvia,LVA,LVA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,70.1,b,
2022,2020-2024,Latvia,LVA,LVA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,71.8,,
2023,2020-2024,Latvia,LVA,LVA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,71.0,,
2024,2020-2024,Latvia,LVA,LVA,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,71.0,,
2014,2014-2019,Montenegro,MNE,MNE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,48.3,,
2015,2014-2019,Montenegro,MNE,MNE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,49.7,,
2016,2014-2019,Montenegro,MNE,MNE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,49.6,,
2017,2014-2019,Montenegro,MNE,MNE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,49.0,,
2018,2014-2019,Montenegro,MNE,MNE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,50.4,,
2019,2014-2019,Montenegro,MNE,MNE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,51.2,,
2020,2020-2024,Montenegro,MNE,MNE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,46.6,,
2014,2014-2019,North Macedonia,MKD,MKD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,39.6,,
2015,2014-2019,North Macedonia,MKD,MKD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,40.9,,
2016,2014-2019,North Macedonia,MKD,MKD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,41.5,,
2017,2014-2019,North Macedonia,MKD,MKD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,42.6,,
2018,2014-2019,North Macedonia,MKD,MKD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,44.1,,
2019,2014-2019,North Macedonia,MKD,MKD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,47.3,,
2020,2020-2024,North Macedonia,MKD,MKD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,48.0,,
2021,2020-2024,North Macedonia,MKD,MKD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,50.1,b,
2022,2020-2024,North Macedonia,MKD,MKD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,50.3,,
2023,2020-2024,North Macedonia,MKD,MKD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,51.1,,
2024,2020-2024,North Macedonia,MKD,MKD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,52.4,,
2014,2014-2019,Malta,MLT,MLT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,54.2,,
2015,2014-2019,Malta,MLT,MLT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,55.9,,
2016,2014-2019,Malta,MLT,MLT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,58.2,,
2017,2014-2019,Malta,MLT,MLT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,60.3,,
2018,2014-2019,Malta,MLT,MLT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,63.0,,
2019,2014-2019,Malta,MLT,MLT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,64.7,,
2020,2020-2024,Malta,MLT,MLT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,67.3,,
2014,2014-2019,Netherlands,NLD,NLD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,72.5,,
2015,2014-2019,Netherlands,NLD,NLD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,73.6,,
2016,2014-2019,Netherlands,NLD,NLD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,74.1,,
2017,2014-2019,Netherlands,NLD,NLD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,75.4,,
2018,2014-2019,Netherlands,NLD,NLD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,76.8,,
2019,2014-2019,Netherlands,NLD,NLD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,78.0,,
2020,2020-2024,Netherlands,NLD,NLD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,77.8,,
2021,2020-2024,Netherlands,NLD,NLD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,80.9,b,
2022,2020-2024,Netherlands,NLD,NLD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,81.8,,
2023,2020-2024,Netherlands,NLD,NLD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,82.4,,
2024,2020-2024,Netherlands,NLD,NLD,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,82.3,,
2014,2014-2019,Norway,NOR,NOR,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,75.6,,
2015,2014-2019,Norway,NOR,NOR,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,75.1,,
2016,2014-2019,Norway,NOR,NOR,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,74.7,,
2017,2014-2019,Norway,NOR,NOR,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,74.6,,
2018,2014-2019,Norway,NOR,NOR,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,75.3,,
2019,2014-2019,Norway,NOR,NOR,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,75.4,,
2020,2020-2024,Norway,NOR,NOR,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,75.0,,
2021,2020-2024,Norway,NOR,NOR,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,76.5,b,
2022,2020-2024,Norway,NOR,NOR,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,77.5,,
2023,2020-2024,Norway,NOR,NOR,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,77.2,,
2024,2020-2024,Norway,NOR,NOR,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,77.0,,
2014,2014-2019,Poland,POL,POL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,60.1,,
2015,2014-2019,Poland,POL,POL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,61.5,,
2016,2014-2019,Poland,POL,POL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,63.1,,
2017,2014-2019,Poland,POL,POL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,64.5,,
2018,2014-2019,Poland,POL,POL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,66.2,,
2019,2014-2019,Poland,POL,POL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,66.9,b,
2020,2020-2024,Poland,POL,POL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,66.9,,
2021,2020-2024,Poland,POL,POL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,69.2,b,
2022,2020-2024,Poland,POL,POL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,70.7,,
2023,2020-2024,Poland,POL,POL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,72.0,,
2024,2020-2024,Poland,POL,POL,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,71.9,,
2014,2014-2019,Portugal,PRT,PRT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,62.8,,
2015,2014-2019,Portugal,PRT,PRT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,64.5,,
2016,2014-2019,Portugal,PRT,PRT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,65.9,,
2017,2014-2019,Portugal,PRT,PRT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,68.0,,
2018,2014-2019,Portugal,PRT,PRT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,70.0,,
2019,2014-2019,Portugal,PRT,PRT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,70.6,,
2020,2020-2024,Portugal,PRT,PRT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,69.7,,
2021,2020-2024,Portugal,PRT,PRT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,70.1,b,
2022,2020-2024,Portugal,PRT,PRT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,71.8,,
2023,2020-2024,Portugal,PRT,PRT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,73.0,,
2024,2020-2024,Portugal,PRT,PRT,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,73.1,,
2014,2014-2019,Romania,ROU,ROU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,56.9,,
2015,2014-2019,Romania,ROU,ROU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,57.2,,
2016,2014-2019,Romania,ROU,ROU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,57.2,,
2017,2014-2019,Romania,ROU,ROU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,60.1,,
2018,2014-2019,Romania,ROU,ROU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,60.6,,
2019,2014-2019,Romania,ROU,ROU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,61.3,,
2020,2020-2024,Romania,ROU,ROU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,60.7,,
2021,2020-2024,Romania,ROU,ROU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,56.7,b,
2022,2020-2024,Romania,ROU,ROU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,58.2,,
2023,2020-2024,Romania,ROU,ROU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,58.0,,
2024,2020-2024,Romania,ROU,ROU,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,58.6,,
2014,2014-2019,Serbia,SRB,SRB,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,47.8,b,
2015,2014-2019,Serbia,SRB,SRB,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,49.2,,
2016,2014-2019,Serbia,SRB,SRB,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,52.6,,
2017,2014-2019,Serbia,SRB,SRB,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,54.7,,
2018,2014-2019,Serbia,SRB,SRB,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,56.1,,
2019,2014-2019,Serbia,SRB,SRB,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,57.9,,
2020,2020-2024,Serbia,SRB,SRB,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,58.0,,
2021,2020-2024,Serbia,SRB,SRB,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,58.2,b,
2022,2020-2024,Serbia,SRB,SRB,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,60.7,,
2023,2020-2024,Serbia,SRB,SRB,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,61.6,,
2024,2020-2024,Serbia,SRB,SRB,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,63.4,,
2014,2014-2019,Sweden,SWE,SWE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,76.1,,
2015,2014-2019,Sweden,SWE,SWE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,77.2,,
2016,2014-2019,Sweden,SWE,SWE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,78.2,,
2017,2014-2019,Sweden,SWE,SWE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,78.8,,
2018,2014-2019,Sweden,SWE,SWE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,79.3,b,
2019,2014-2019,Sweden,SWE,SWE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,79.3,,
2020,2020-2024,Sweden,SWE,SWE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,77.6,,
2021,2020-2024,Sweden,SWE,SWE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,76.6,b,
2022,2020-2024,Sweden,SWE,SWE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,77.6,,
2023,2020-2024,Sweden,SWE,SWE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,78.5,,
2024,2020-2024,Sweden,SWE,SWE,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,77.7,,
2014,2014-2019,Slovenia,SVN,SVN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,66.5,,
2015,2014-2019,Slovenia,SVN,SVN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,67.6,,
2016,2014-2019,Slovenia,SVN,SVN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,69.6,,
2017,2014-2019,Slovenia,SVN,SVN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,73.1,,
2018,2014-2019,Slovenia,SVN,SVN,0,Females,From 15 to 59 years,reporting_country,Reporting-country citizens,74.9,,
